path,spectral_min_nm,spectral_max_nm,phase_min_nm,phase_max_nm,bytes
water_iop/Detritus_Stramski2001.mie,350.0,850.0,350.0,850.0,138979
water_iop/eap/EAP_00_Diatoms_pennate_D6.mie,350.0,850.0,350.0,850.0,188480
water_iop/eap/EAP_01_Chlorophytes_D8.mie,350.0,850.0,350.0,850.0,188475
water_iop/eap/EAP_02_Diatoms_centric_D6.mie,350.0,850.0,350.0,850.0,188480
water_iop/eap/EAP_03_Cryptophytes_D6.mie,350.0,850.0,350.0,850.0,188475
water_iop/eap/EAP_04_Cyano_blue_D6.mie,350.0,850.0,350.0,850.0,188483
water_iop/eap/EAP_05_Cyano_red_D6.mie,350.0,850.0,350.0,850.0,188482
water_iop/eap/EAP_06_Dinoflagellates_D24.mie,350.0,850.0,350.0,850.0,188478
water_iop/eap/EAP_07_Eustigmatophytes_D6.mie,350.0,850.0,350.0,850.0,188479
water_iop/eap/EAP_08_Hapto_Pavlovaceae_D6.mie,350.0,850.0,350.0,850.0,188487
water_iop/eap/EAP_09_Pelagophytes_D3.mie,350.0,850.0,350.0,850.0,188475
water_iop/eap/EAP_10_Prasinophytes_D3.mie,350.0,850.0,350.0,850.0,188476
water_iop/eap/EAP_11_Prochlorococcus_D0p5.mie,350.0,850.0,350.0,850.0,188478
water_iop/eap/EAP_12_Hapto_Prymnesiaceae_D4.mie,350.0,850.0,350.0,850.0,188489
water_iop/eap/EAP_13_Raphidophytes_D24.mie,350.0,850.0,350.0,850.0,188476
water_iop/eap/EAP_14_Rhodophytes_D6.mie,350.0,850.0,350.0,850.0,188474
water_iop/eap/EAP_15_Synechococcus_D1p2.mie,350.0,850.0,350.0,850.0,188480
water_iop/eap/EAP_16_Microcystis_D5.mie,350.0,850.0,350.0,850.0,188491
tsm_ahn/Brown_earth_AHN.mie,350.0,3750.0,350.0,3750.0,361027
tsm_ahn/Calcareous_sand_AHN.mie,350.0,3750.0,350.0,3750.0,361027
tsm_ahn/Red_clay_AHN.mie,350.0,3750.0,350.0,3750.0,361027
tsm_ahn/Yellow_clay_AHN.mie,350.0,3750.0,350.0,3750.0,361027
