model,rh_percent,fine_volume_fraction,fine_rv_um,coarse_rv_um,n_wavelengths,n_angles,sha256,bytes,norext_350nm,ssa_350nm,g_350nm,norext_550nm,ssa_550nm,g_550nm,norext_860nm,ssa_860nm,g_860nm,norext_2250nm,ssa_2250nm,g_2250nm,norext_3750nm,ssa_3750nm,g_3750nm
r30f00v01,30,0.0,0.1507994,2.1982074,20,361,e87fc6d113bff5e03b09159f6d4ba1256bb8593eb843ac55f254523ab0f918ff,294022,0.9479,1.0,0.7604,1.0,1.0,0.7324,1.0814,0.9999,0.7157,1.0856,0.9828,0.7359,0.8429,0.9902,0.7021
r30f01v01,30,0.01,0.1507994,2.1982074,20,361,fdd25843675a68debc3adbe7ff04e11e7c017c110af6ccb4107de076a0bcb289,294022,1.0091,0.9943,0.7517,1.0,0.9969,0.7254,1.0386,0.9984,0.7114,1.0233,0.9823,0.7358,0.7943,0.9897,0.7021
r30f02v01,30,0.02,0.1507994,2.1982074,20,361,3cc58174502f37e1649e67a771c4729290e498ee0e9c9274515385f79567d6b0,294022,1.0645,0.9897,0.7446,1.0,0.994,0.719,0.9999,0.9969,0.7071,0.9666,0.9818,0.7357,0.7502,0.9893,0.7021
r30f05v01,30,0.05,0.1507994,2.1982074,20,361,65d2b570b5dd3e5a93fb87d5310c053d8163bc70bd4332c08040bfba95df3004,294022,1.2037,0.9801,0.7294,1.0,0.9869,0.7028,0.9025,0.9925,0.6946,0.8244,0.9801,0.7354,0.6395,0.9878,0.702
r30f10v01,30,0.1,0.1507994,2.1982074,20,361,e26670420e0d35a295aa0ff9443163365fde83a5fafa4b708f5428d02d315130,294022,1.3731,0.971,0.7147,1.0,0.9782,0.6827,0.7842,0.9857,0.675,0.6516,0.9771,0.7349,0.5049,0.9851,0.7018
r30f20v01,30,0.2,0.1507994,2.1982074,20,361,544cc718f3c9190eb5ee4747920dfe4b8ac123f6322fa8174361db3b230be9c5,294022,1.5833,0.9624,0.7007,1.0,0.9674,0.6572,0.6372,0.9738,0.6399,0.4369,0.9701,0.7336,0.3378,0.9788,0.7015
r30f30v01,30,0.3,0.1507994,2.1982074,20,361,8ebd14c35fdf077dde67d0e6ffd9e26448b35a88419912496fcde5de9e470d1a,294022,1.7087,0.9583,0.6938,1.0,0.9609,0.6418,0.5495,0.9636,0.6094,0.3088,0.9613,0.7319,0.238,0.9708,0.701
r30f50v01,30,0.5,0.1507994,2.1982074,20,361,32d5e93c34b2ec3fc66c2de1c9f37596ba1da54884518c4e02df85c0884645f2,294022,1.8514,0.9543,0.6871,1.0,0.9536,0.6239,0.4497,0.9472,0.5587,0.1631,0.9343,0.7267,0.1246,0.9461,0.6994
r30f80v01,30,0.8,0.1507994,2.1982074,20,361,5687488572650396ab4c78b9029b78379b0a353ef167cb57957b6c325fcf512f,294022,1.958,0.9517,0.6827,1.0,0.9481,0.6104,0.3753,0.9293,0.5013,0.0543,0.8198,0.7006,0.0399,0.8364,0.6914
r30f95v01,30,0.95,0.1507994,2.1982074,20,361,a311413449e079812599cf9efb4b0c8a7b0a7df876ddb85b82d67469f2b8190e,294022,1.9903,0.951,0.6814,1.0,0.9465,0.6063,0.3526,0.9224,0.4784,0.0212,0.5528,0.598,0.0142,0.5432,0.654
r50f00v01,50,0.0,0.1527481,2.2308864,20,361,47708b48f8fea17366120ce23d3b79e044f746636f5654f13a5e4060da9814aa,294022,0.9476,1.0,0.7613,1.0,1.0,0.7325,1.0814,0.9999,0.7157,1.0842,0.9831,0.7395,0.8455,0.9896,0.7054
r50f01v01,50,0.01,0.1527481,2.2308864,20,361,da8ab764977ed9cdf28a8cd01b52b8a3b4c68620aafd0a518f7d9f87c7b4c5b2,294022,1.0086,0.9945,0.7529,1.0,0.9969,0.7257,1.0387,0.9984,0.7113,1.0218,0.9826,0.7394,0.7966,0.9891,0.7054
r50f02v01,50,0.02,0.1527481,2.2308864,20,361,208abbe8b4076465219959d1410cc383fd8cd7906b527edfa20c746f0aa469df,294022,1.064,0.99,0.7461,1.0,0.9942,0.7195,0.9999,0.9969,0.7071,0.9651,0.9821,0.7393,0.7524,0.9886,0.7054
