wavelength_nm,fine_real_n,fine_positive_k,coarse_real_n,coarse_positive_k,complex_index_convention
200.0,1.52985,0.008715,1.51,0.0001,m = n - i k
337.1,1.5311,0.010253,1.51,4e-07,m = n - i k
412.0,1.5311,0.010253,1.5,1e-07,m = n - i k
443.0,1.5311,0.010236,1.5,1e-07,m = n - i k
490.0,1.5311,0.01021,1.5,1e-07,m = n - i k
514.5,1.5311,0.01021,1.5,1e-08,m = n - i k
555.0,1.5311,0.010157,1.499,1e-07,m = n - i k
632.8000000000001,1.5311,0.01011,1.5,2e-08,m = n - i k
670.0,1.5311,0.01011,1.49,1e-07,m = n - i k
860.0,1.52115,0.01011,1.48,3e-06,m = n - i k
869.0,1.5211,0.010112,1.48,3e-06,m = n - i k
1060.0,1.52115,0.01016,1.47,0.0002,m = n - i k
1300.0,1.4615,0.01021,1.47,0.0004,m = n - i k
1536.0,1.40185,0.01026,1.46,0.0006,m = n - i k
1800.0,1.3323,0.01036,1.45,0.0008,m = n - i k
2000.0,1.2627,0.01041,1.45,0.001,m = n - i k
2250.0,1.22295,0.011455,1.44,0.002,m = n - i k
2500.0,1.1832,0.011505,1.43,0.004,m = n - i k
