# AFGL Standard Atmosphere: Subarctic Winter (60N Jan)
# Reference: Anderson et al. 1986, AFGL-TR-86-0110
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01325e+03  263.150  2.78888e+19  2.32350e+03  3.45800e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.00  8.98760e+02  256.650  2.53641e+19  1.82130e+03  3.80900e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.00  7.95010e+02  250.150  2.30191e+19  1.38930e+03  4.21200e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.00  7.01210e+02  243.650  2.08448e+19  9.54600e+02  4.61500e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  237.150  1.88320e+19  6.47400e+02  4.82300e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.00  5.40480e+02  230.650  1.69724e+19  4.19100e+02  5.25200e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.00  4.72170e+02  224.150  1.52573e+19  2.77620e+02  5.72000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.00  4.11050e+02  217.650  1.36789e+19  1.71600e+02  6.20100e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  8.00  3.56510e+02  211.150  1.22292e+19  1.10010e+02  6.46100e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  9.00  3.08000e+02  204.650  1.09007e+19  4.74900e+01  6.66900e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 10.00  2.64990e+02  198.150  9.68617e+18  2.09880e+01  7.03300e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 11.00  2.27000e+02  191.650  8.57894e+18  1.08390e+01  7.72200e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 12.00  1.93990e+02  191.650  7.33141e+18  5.71800e+00  9.90600e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 13.00  1.65790e+02  191.650  6.26565e+18  3.25500e+00  1.36500e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 14.00  1.41700e+02  191.650  5.35523e+18  1.77810e+00  1.89800e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.69000e+00
 15.00  1.21110e+02  216.650  4.04891e+18  1.20000e+00  2.48300e-01  2.09500e+05  3.95000e+02  3.20000e-05  1.68000e+00
 16.00  1.03520e+02  216.650  3.46085e+18  1.20000e+00  3.14600e-01  2.09500e+05  3.95000e+02  3.50000e-05  1.66000e+00
 17.00  8.84970e+01  216.650  2.95860e+18  1.20000e+00  3.95200e-01  2.09500e+05  3.95000e+02  4.00000e-05  1.63000e+00
 18.00  7.56520e+01  216.650  2.52917e+18  1.20000e+00  4.99200e-01  2.09500e+05  3.95000e+02  5.00000e-05  1.59000e+00
 19.00  6.46740e+01  216.650  2.16216e+18  1.20000e+00  6.12300e-01  2.09500e+05  3.95000e+02  7.00000e-05  1.54000e+00
 20.00  5.52930e+01  216.650  1.84854e+18  1.20000e+00  7.29300e-01  2.09500e+05  3.95000e+02  1.00000e-04  1.48000e+00
 21.00  4.72890e+01  217.450  1.57513e+18  1.20000e+00  8.42400e-01  2.09500e+05  3.95000e+02  1.50000e-04  1.40000e+00
 22.00  4.04750e+01  218.550  1.34138e+18  1.20000e+00  9.54200e-01  2.09500e+05  3.95000e+02  2.30000e-04  1.31000e+00
 23.00  3.46680e+01  219.650  1.14318e+18  1.20000e+00  1.06080e+00  2.09500e+05  3.95000e+02  3.50000e-04  1.20000e+00
 24.00  2.97170e+01  220.550  9.75921e+17  1.20000e+00  1.17650e+00  2.09500e+05  3.95000e+02  5.20000e-04  1.09000e+00
 25.00  2.54920e+01  221.450  8.33767e+17  1.20000e+00  1.30000e+00  2.09500e+05  3.95000e+02  7.50000e-04  9.50000e-01
 27.50  1.74350e+01  224.750  5.61874e+17  1.29000e+00  1.85900e+00  2.09500e+05  3.95000e+02  1.70000e-03  6.50000e-01
 30.00  1.19700e+01  232.500  3.72896e+17  1.41000e+00  2.50900e+00  2.09500e+05  3.95000e+02  3.10000e-03  4.20000e-01
 32.50  8.01000e+00  240.000  2.41734e+17  1.50000e+00  3.15900e+00  2.09500e+05  3.95000e+02  5.00000e-03  2.70000e-01
