# AFGL Standard Atmosphere: US Standard 1976
# Reference: Anderson et al. 1986, AFGL-TR-86-0110
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01325e+03  288.150  2.54692e+19  7.74500e+03  2.66000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.00  8.98760e+02  281.650  2.31127e+19  6.07100e+03  2.93000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.00  7.95010e+02  275.150  2.09276e+19  4.63100e+03  3.24000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.00  7.01210e+02  268.650  1.89051e+19  3.18200e+03  3.55000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  262.150  1.70361e+19  2.15800e+03  3.71000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.00  5.40480e+02  255.650  1.53127e+19  1.39700e+03  4.04000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.00  4.72170e+02  249.150  1.37263e+19  9.25400e+02  4.40000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.00  4.11050e+02  242.650  1.22696e+19  5.72000e+02  4.77000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  8.00  3.56510e+02  236.150  1.09345e+19  3.66700e+02  4.97000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  9.00  3.08000e+02  229.650  9.71406e+18  1.58300e+02  5.13000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 10.00  2.64990e+02  223.150  8.60101e+18  6.99600e+01  5.41000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 11.00  2.27000e+02  216.650  7.58899e+18  3.61300e+01  5.94000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 12.00  1.93990e+02  216.650  6.48541e+18  1.90600e+01  7.62000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 13.00  1.65790e+02  216.650  5.54264e+18  1.08500e+01  1.05000e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 14.00  1.41700e+02  216.650  4.73727e+18  5.92700e+00  1.46000e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.69000e+00
 15.00  1.21110e+02  216.650  4.04891e+18  4.00000e+00  1.91000e-01  2.09500e+05  3.95000e+02  3.20000e-05  1.68000e+00
 16.00  1.03520e+02  216.650  3.46085e+18  4.00000e+00  2.42000e-01  2.09500e+05  3.95000e+02  3.50000e-05  1.66000e+00
 17.00  8.84970e+01  216.650  2.95860e+18  4.00000e+00  3.04000e-01  2.09500e+05  3.95000e+02  4.00000e-05  1.63000e+00
 18.00  7.56520e+01  216.650  2.52917e+18  4.00000e+00  3.84000e-01  2.09500e+05  3.95000e+02  5.00000e-05  1.59000e+00
 19.00  6.46740e+01  216.650  2.16216e+18  4.00000e+00  4.71000e-01  2.09500e+05  3.95000e+02  7.00000e-05  1.54000e+00
 20.00  5.52930e+01  216.650  1.84854e+18  4.00000e+00  5.61000e-01  2.09500e+05  3.95000e+02  1.00000e-04  1.48000e+00
 21.00  4.72890e+01  217.450  1.57513e+18  4.00000e+00  6.48000e-01  2.09500e+05  3.95000e+02  1.50000e-04  1.40000e+00
 22.00  4.04750e+01  218.550  1.34138e+18  4.00000e+00  7.34000e-01  2.09500e+05  3.95000e+02  2.30000e-04  1.31000e+00
 23.00  3.46680e+01  219.650  1.14318e+18  4.00000e+00  8.16000e-01  2.09500e+05  3.95000e+02  3.50000e-04  1.20000e+00
 24.00  2.97170e+01  220.550  9.75921e+17  4.00000e+00  9.05000e-01  2.09500e+05  3.95000e+02  5.20000e-04  1.09000e+00
 25.00  2.54920e+01  221.450  8.33767e+17  4.00000e+00  1.00000e+00  2.09500e+05  3.95000e+02  7.50000e-04  9.50000e-01
 27.50  1.74350e+01  224.750  5.61874e+17  4.30000e+00  1.43000e+00  2.09500e+05  3.95000e+02  1.70000e-03  6.50000e-01
 30.00  1.19700e+01  232.500  3.72896e+17  4.70000e+00  1.93000e+00  2.09500e+05  3.95000e+02  3.10000e-03  4.20000e-01
 32.50  8.01000e+00  240.000  2.41734e+17  5.00000e+00  2.43000e+00  2.09500e+05  3.95000e+02  5.00000e-03  2.70000e-01
 35.00  5.74600e+00  247.050  1.68460e+17  5.50000e+00  2.92000e+00  2.09500e+05  3.95000e+02  7.00000e-03  1.80000e-01
 37.50  4.08300e+00  254.100  1.16384e+17  6.00000e+00  3.42000e+00  2.09500e+05  3.95000e+02  8.50000e-03  1.20000e-01
 40.00  2.87100e+00  262.200  7.93080e+16  6.50000e+00  3.92000e+00  2.09500e+05  3.95000e+02  9.30000e-03  8.00000e-02
 42.50  2.06000e+00  270.650  5.51285e+16  7.00000e+00  4.42000e+00  2.09500e+05  3.95000e+02  9.20000e-03  5.00000e-02
 45.00  1.49100e+00  263.150  4.10385e+16  7.50000e+00  4.92000e+00  2.09500e+05  3.95000e+02  8.30000e-03  3.50000e-02
 47.50  1.09000e+00  254.700  3.09966e+16  7.80000e+00  5.42000e+00  2.09500e+05  3.95000e+02  6.50000e-03  2.50000e-02
 50.00  7.97800e-01  247.050  2.33898e+16  7.50000e+00  5.92000e+00  2.09500e+05  3.95000e+02  4.20000e-03  1.80000e-02
 55.00  4.25000e-01  233.300  1.31944e+16  6.80000e+00  6.42000e+00  2.09500e+05  3.95000e+02  1.50000e-03  1.00000e-02
 60.00  2.19600e-01  219.700  7.23967e+15  6.00000e+00  6.42000e+00  2.09500e+05  3.94000e+02  4.50000e-04  5.00000e-03
 65.00  1.09000e-01  208.400  3.78831e+15  5.00000e+00  5.92000e+00  2.09500e+05  3.93000e+02  1.20000e-04  2.50000e-03
 70.00  5.22000e-02  198.650  1.90326e+15  4.00000e+00  4.92000e+00  2.09500e+05  3.91000e+02  3.00000e-05  1.00000e-03
