# AFGL Standard Atmosphere: Mid-Latitude Winter (45N Jan)
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/mlw.atm
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 379.5 DU (RFM 원본 379.5 DU, 보간오차 -0.00%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01800e+03  272.200  2.70880e+19  4.31600e+03  2.77800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  8.97300e+02  268.700  2.41873e+19  3.45400e+03  2.80000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  7.89700e+02  265.200  2.15678e+19  2.78800e+03  2.84900e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  6.93800e+02  261.700  1.92020e+19  2.08800e+03  3.20000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  6.08100e+02  255.700  1.72251e+19  1.28000e+03  3.56700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69700e+00
  5.00  5.31300e+02  249.700  1.54113e+19  8.24100e+02  4.72000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.68700e+00
  6.00  4.62700e+02  243.700  1.37518e+19  5.10300e+02  5.83700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.67200e+00
  7.00  4.01600e+02  237.700  1.22372e+19  2.32100e+02  7.89100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.64900e+00
  8.00  3.47300e+02  231.700  1.08566e+19  1.07700e+02  1.03900e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.62900e+00
  9.00  2.99300e+02  225.700  9.60488e+18  5.56600e+01  1.56700e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.61500e+00
 10.00  2.56800e+02  219.700  8.46607e+18  2.96000e+01  2.37000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.57900e+00
 11.00  2.19900e+02  219.200  7.26610e+18  1.00000e+01  3.62400e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.54200e+00
 12.00  1.88200e+02  218.700  6.23286e+18  6.00000e+00  5.23200e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.50800e+00
 13.00  1.61100e+02  218.200  5.34758e+18  5.00000e+00  7.03600e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.47900e+00
 14.00  1.37800e+02  217.700  4.58466e+18  4.80000e+00  8.00000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.45100e+00
 15.00  1.17800e+02  217.200  3.92828e+18  4.70000e+00  9.00000e-01  2.09000e+05  3.30000e+02  3.20000e-05  1.42200e+00
 16.00  1.00700e+02  216.700  3.36579e+18  4.60000e+00  1.10000e+00  2.09000e+05  3.30000e+02  3.50000e-05  1.39000e+00
 17.00  8.61000e+01  216.200  2.88446e+18  4.50000e+00  1.40000e+00  2.09000e+05  3.30000e+02  4.00000e-05  1.35600e+00
 18.00  7.36000e+01  215.700  2.47141e+18  4.50000e+00  1.80000e+00  2.09000e+05  3.30000e+02  5.00000e-05  1.32300e+00
 19.00  6.28000e+01  215.200  2.11365e+18  4.50000e+00  2.30000e+00  2.09000e+05  3.30000e+02  7.00000e-05  1.28100e+00
 20.00  5.37000e+01  215.200  1.80738e+18  4.50000e+00  2.90000e+00  2.09000e+05  3.30000e+02  1.00000e-04  1.22400e+00
 21.00  4.58000e+01  215.200  1.54149e+18  4.50000e+00  3.50000e+00  2.09000e+05  3.30000e+02  1.50000e-04  1.15400e+00
 22.00  3.91000e+01  215.200  1.31599e+18  4.53000e+00  3.90000e+00  2.09000e+05  3.30000e+02  2.30000e-04  1.06600e+00
 23.00  3.34000e+01  215.200  1.12414e+18  4.55000e+00  4.30000e+00  2.09000e+05  3.30000e+02  3.50000e-04  9.73000e-01
 24.00  2.86000e+01  215.200  9.62588e+17  4.60000e+00  4.70000e+00  2.09000e+05  3.30000e+02  5.20000e-04  8.80000e-01
 25.00  2.44000e+01  215.200  8.21229e+17  4.65000e+00  5.10000e+00  2.09000e+05  3.30000e+02  7.50000e-04  7.93100e-01
 27.50  1.64600e+01  215.500  5.53222e+17  4.70000e+00  5.60000e+00  2.09000e+05  3.30000e+02  1.70000e-03  7.13000e-01
 30.00  1.11000e+01  217.400  3.69811e+17  4.75000e+00  6.10000e+00  2.09000e+05  3.30000e+02  3.10000e-03  6.43800e-01
 32.50  7.56000e+00  220.400  2.48443e+17  4.80000e+00  6.80000e+00  2.09000e+05  3.30000e+02  5.00000e-03  5.74600e-01
 35.00  5.18000e+00  227.900  1.64627e+17  4.85000e+00  7.10000e+00  2.09000e+05  3.30000e+02  7.00000e-03  5.05000e-01
 37.50  3.60000e+00  235.500  1.10721e+17  4.90000e+00  7.20000e+00  2.09000e+05  3.30000e+02  8.50000e-03  4.48100e-01
 40.00  2.53000e+00  243.200  7.53483e+16  4.95000e+00  6.90000e+00  2.09000e+05  3.30000e+02  9.30000e-03  3.93100e-01
 42.50  1.80000e+00  250.800  5.19830e+16  5.00000e+00  5.90000e+00  2.09000e+05  3.30000e+02  9.20000e-03  3.39500e-01
 45.00  1.29000e+00  258.500  3.61448e+16  5.00000e+00  4.60000e+00  2.09000e+05  3.30000e+02  8.30000e-03  2.87600e-01
 47.50  9.40000e-01  265.100  2.56824e+16  5.00000e+00  3.70000e+00  2.09000e+05  3.30000e+02  6.50000e-03  2.38600e-01
 50.00  6.83000e-01  265.700  1.86186e+16  4.95000e+00  2.75000e+00  2.09000e+05  3.30000e+02  4.20000e-03  1.94400e-01
 55.00  3.62000e-01  260.600  1.00612e+16  4.85000e+00  1.70000e+00  2.09000e+05  3.30000e+02  1.50000e-03  1.57400e-01
 60.00  1.88000e-01  250.800  5.42934e+15  4.50000e+00  1.00000e+00  2.09000e+05  3.30000e+02  4.50000e-04  1.50000e-01
