# AFGL Standard Atmosphere: Sub-Arctic Winter (60N Jan)
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/saw.atm
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 376.8 DU (RFM 원본 376.8 DU, 보간오차 -0.00%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01300e+03  257.200  2.85269e+19  1.40500e+03  1.80200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  8.87800e+02  259.100  2.48179e+19  1.61500e+03  2.07200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  7.77500e+02  255.900  2.20063e+19  1.42700e+03  2.33600e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  6.79800e+02  252.700  1.94847e+19  1.16600e+03  2.76700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  5.93200e+02  247.700  1.73457e+19  7.89800e+02  3.25300e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69700e+00
  5.00  5.15800e+02  240.900  1.55082e+19  4.30900e+02  3.80100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.68700e+00
  6.00  4.46700e+02  234.100  1.38207e+19  2.36900e+02  4.44600e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.67200e+00
  7.00  3.85300e+02  227.300  1.22777e+19  1.47000e+02  7.25200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.64900e+00
  8.00  3.30800e+02  220.600  1.08612e+19  3.38400e+01  1.04000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.62900e+00
  9.00  2.82900e+02  217.200  9.43387e+18  2.97600e+01  2.10000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.61500e+00
 10.00  2.41800e+02  217.200  8.06331e+18  2.00000e+01  3.00000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.57900e+00
 11.00  2.06700e+02  217.200  6.89283e+18  1.00000e+01  3.50000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.54200e+00
 12.00  1.76600e+02  217.200  5.88908e+18  6.00000e+00  4.00000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.50600e+00
 13.00  1.51000e+02  217.200  5.03540e+18  4.45000e+00  6.50000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.47100e+00
 14.00  1.29100e+02  217.200  4.30510e+18  4.50000e+00  9.00000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.43400e+00
 15.00  1.10300e+02  217.200  3.67818e+18  4.55000e+00  1.20000e+00  2.09000e+05  3.30000e+02  3.20000e-05  1.38900e+00
 16.00  9.43100e+01  216.600  3.15367e+18  4.60000e+00  1.50000e+00  2.09000e+05  3.30000e+02  3.50000e-05  1.34200e+00
 17.00  8.05800e+01  216.000  2.70203e+18  4.65000e+00  1.90000e+00  2.09000e+05  3.30000e+02  4.00000e-05  1.29000e+00
 18.00  6.88200e+01  215.400  2.31412e+18  4.70000e+00  2.45000e+00  2.09000e+05  3.30000e+02  5.00000e-05  1.23000e+00
 19.00  5.87500e+01  214.800  1.98103e+18  4.75000e+00  3.10000e+00  2.09000e+05  3.30000e+02  7.00000e-05  1.16100e+00
 20.00  5.01400e+01  214.200  1.69544e+18  4.80000e+00  3.70000e+00  2.09000e+05  3.30000e+02  1.00000e-04  1.08400e+00
 21.00  4.27700e+01  213.600  1.45029e+18  4.85000e+00  4.00000e+00  2.09000e+05  3.30000e+02  1.50000e-04  1.01400e+00
 22.00  3.64700e+01  213.000  1.24015e+18  4.90000e+00  4.20000e+00  2.09000e+05  3.30000e+02  2.30000e-04  9.56100e-01
