# AFGL Standard Atmosphere: US Standard 1976
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/std.atm
# n_layers=40 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 346.9 DU (RFM 원본 345.4 DU, 보간오차 +0.43%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01300e+03  288.200  2.54585e+19  7.74500e+03  2.66000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  0.50  9.54193e+02  284.950  2.42541e+19  6.85711e+03  2.79221e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  8.98800e+02  281.700  2.31096e+19  6.07100e+03  2.93100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.50  8.45308e+02  278.450  2.19879e+19  5.30234e+03  3.08020e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  7.95000e+02  275.200  2.09236e+19  4.63100e+03  3.23700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.50  7.46628e+02  271.950  1.98853e+19  3.83873e+03  3.27725e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  7.01200e+02  268.700  1.89013e+19  3.18200e+03  3.31800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.50  6.57541e+02  265.450  1.79414e+19  2.62045e+03  3.35232e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  262.200  1.70329e+19  2.15800e+03  3.38700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.50  5.77297e+02  258.950  1.61473e+19  1.73630e+03  3.57242e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  5.00  5.40500e+02  255.700  1.53102e+19  1.39700e+03  3.76800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  5.50  5.05197e+02  252.450  1.44945e+19  1.13701e+03  3.93624e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  6.00  4.72200e+02  249.200  1.37244e+19  9.25400e+02  4.11200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
