wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
350,0.025989999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
355,0.026939999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
360,0.02793,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
365,0.02896,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
370,0.030020000000000002,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
375,0.031109999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
380,0.032239999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
385,0.033300000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
390,0.033390000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
395,0.033820000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
400,0.035000000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
405,0.035279999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
410,0.035610000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
415,0.035900000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
420,0.035830000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
425,0.035549999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
430,0.036130000000000002,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
435,0.035999999999999997,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
440,0.035200000000000002,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
445,0.03422,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
450,0.033169999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
455,0.032059999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
460,0.0309,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
465,0.029690000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
470,0.02852,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
475,0.027459999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
480,0.026610000000000002,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
485,0.026030000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
490,0.025559999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
495,0.025000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
500,0.024119999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
505,0.022769999999999999,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
510,0.021180000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
515,0.019740000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
520,0.018769999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
525,0.01804,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
530,0.017180000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
535,0.015890000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
