# AFGL Standard Atmosphere: Mid-Latitude Summer (45N July)
# Reference: Anderson et al. 1986, AFGL-TR-86-0110
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01325e+03  293.150  2.50348e+19  1.08430e+04  2.52700e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.00  8.98760e+02  286.650  2.27095e+19  8.49940e+03  2.78350e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.00  7.95010e+02  280.150  2.05541e+19  6.48340e+03  3.07800e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.00  7.01210e+02  273.650  1.85596e+19  4.45480e+03  3.37250e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  267.150  1.67173e+19  3.02120e+03  3.52450e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.00  5.40480e+02  260.650  1.50189e+19  1.95580e+03  3.83800e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.00  4.72170e+02  254.150  1.34563e+19  1.29556e+03  4.18000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.00  4.11050e+02  247.650  1.20219e+19  8.00800e+02  4.53150e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  8.00  3.56510e+02  241.150  1.07078e+19  5.13380e+02  4.72150e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  9.00  3.08000e+02  234.650  9.50707e+18  2.21620e+02  4.87350e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 10.00  2.64990e+02  228.150  8.41251e+18  9.79440e+01  5.13950e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 11.00  2.27000e+02  221.650  7.41780e+18  5.05820e+01  5.64300e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 12.00  1.93990e+02  216.650  6.48541e+18  2.66840e+01  7.23900e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 13.00  1.65790e+02  216.650  5.54264e+18  1.51900e+01  9.97500e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 14.00  1.41700e+02  216.650  4.73727e+18  8.29780e+00  1.38700e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.69000e+00
 15.00  1.21110e+02  216.650  4.04891e+18  5.60000e+00  1.81450e-01  2.09500e+05  3.95000e+02  3.20000e-05  1.68000e+00
 16.00  1.03520e+02  216.650  3.46085e+18  5.60000e+00  2.29900e-01  2.09500e+05  3.95000e+02  3.50000e-05  1.66000e+00
 17.00  8.84970e+01  216.650  2.95860e+18  5.60000e+00  2.88800e-01  2.09500e+05  3.95000e+02  4.00000e-05  1.63000e+00
 18.00  7.56520e+01  216.650  2.52917e+18  5.60000e+00  3.64800e-01  2.09500e+05  3.95000e+02  5.00000e-05  1.59000e+00
 19.00  6.46740e+01  216.650  2.16216e+18  5.60000e+00  4.47450e-01  2.09500e+05  3.95000e+02  7.00000e-05  1.54000e+00
 20.00  5.52930e+01  216.650  1.84854e+18  5.60000e+00  5.32950e-01  2.09500e+05  3.95000e+02  1.00000e-04  1.48000e+00
 21.00  4.72890e+01  217.450  1.57513e+18  5.60000e+00  6.15600e-01  2.09500e+05  3.95000e+02  1.50000e-04  1.40000e+00
 22.00  4.04750e+01  218.550  1.34138e+18  5.60000e+00  6.97300e-01  2.09500e+05  3.95000e+02  2.30000e-04  1.31000e+00
 23.00  3.46680e+01  219.650  1.14318e+18  5.60000e+00  7.75200e-01  2.09500e+05  3.95000e+02  3.50000e-04  1.20000e+00
 24.00  2.97170e+01  220.550  9.75921e+17  5.60000e+00  8.59750e-01  2.09500e+05  3.95000e+02  5.20000e-04  1.09000e+00
 25.00  2.54920e+01  221.450  8.33767e+17  5.60000e+00  9.50000e-01  2.09500e+05  3.95000e+02  7.50000e-04  9.50000e-01
 27.50  1.74350e+01  224.750  5.61874e+17  6.02000e+00  1.35850e+00  2.09500e+05  3.95000e+02  1.70000e-03  6.50000e-01
 30.00  1.19700e+01  232.500  3.72896e+17  6.58000e+00  1.83350e+00  2.09500e+05  3.95000e+02  3.10000e-03  4.20000e-01
 32.50  8.01000e+00  240.000  2.41734e+17  7.00000e+00  2.30850e+00  2.09500e+05  3.95000e+02  5.00000e-03  2.70000e-01
 35.00  5.74600e+00  247.050  1.68460e+17  7.70000e+00  2.77400e+00  2.09500e+05  3.95000e+02  7.00000e-03  1.80000e-01
 37.50  4.08300e+00  254.100  1.16384e+17  8.40000e+00  3.24900e+00  2.09500e+05  3.95000e+02  8.50000e-03  1.20000e-01
 40.00  2.87100e+00  262.200  7.93080e+16  9.10000e+00  3.72400e+00  2.09500e+05  3.95000e+02  9.30000e-03  8.00000e-02
 42.50  2.06000e+00  270.650  5.51285e+16  9.80000e+00  4.19900e+00  2.09500e+05  3.95000e+02  9.20000e-03  5.00000e-02
 45.00  1.49100e+00  263.150  4.10385e+16  1.05000e+01  4.67400e+00  2.09500e+05  3.95000e+02  8.30000e-03  3.50000e-02
 47.50  1.09000e+00  254.700  3.09966e+16  1.09200e+01  5.14900e+00  2.09500e+05  3.95000e+02  6.50000e-03  2.50000e-02
 50.00  7.97800e-01  247.050  2.33898e+16  1.05000e+01  5.62400e+00  2.09500e+05  3.95000e+02  4.20000e-03  1.80000e-02
 55.00  4.25000e-01  233.300  1.31944e+16  9.52000e+00  6.09900e+00  2.09500e+05  3.95000e+02  1.50000e-03  1.00000e-02
 60.00  2.19600e-01  219.700  7.23967e+15  8.40000e+00  6.09900e+00  2.09500e+05  3.94000e+02  4.50000e-04  5.00000e-03
 65.00  1.09000e-01  208.400  3.78831e+15  7.00000e+00  5.62400e+00  2.09500e+05  3.93000e+02  1.20000e-04  2.50000e-03
 70.00  5.22000e-02  198.650  1.90326e+15  5.60000e+00  4.67400e+00  2.09500e+05  3.91000e+02  3.00000e-05  1.00000e-03
 75.00  2.40000e-02  196.000  8.86894e+14  4.62000e+00  3.72400e+00  2.09500e+05  3.89000e+02  1.00000e-05  5.00000e-04
 80.00  1.05000e-02  198.650  3.82840e+14  3.78000e+00  2.77400e+00  2.09500e+05  3.87000e+02  3.00000e-06  2.50000e-04
 85.00  4.46000e-03  213.650  1.51199e+14  2.80000e+00  1.82400e+00  2.09000e+05  3.84000e+02  1.00000e-06  1.20000e-04
 90.00  1.84000e-03  232.100  5.74195e+13  2.10000e+00  1.10200e+00  2.07000e+05  3.80000e+02  3.00000e-07  6.00000e-05
 95.00  7.60000e-04  270.650  2.03387e+13  1.40000e+00  5.70950e-01  2.00000e+05  3.76000e+02  1.00000e-07  3.00000e-05
100.00  3.20000e-04  322.650  7.18348e+12  7.00000e-01  1.90000e-01  1.80000e+05  3.72000e+02  3.00000e-08  2.00000e-05
