# AFGL Standard Atmosphere: Subarctic Summer (60N July)
# Reference: Anderson et al. 1986, AFGL-TR-86-0110
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01325e+03  288.150  2.54692e+19  6.97050e+03  2.92600e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.00  8.98760e+02  281.650  2.31127e+19  5.46390e+03  3.22300e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.00  7.95010e+02  275.150  2.09276e+19  4.16790e+03  3.56400e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.00  7.01210e+02  268.650  1.89051e+19  2.86380e+03  3.90500e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  262.150  1.70361e+19  1.94220e+03  4.08100e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.00  5.40480e+02  252.650  1.54945e+19  1.25730e+03  4.44400e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.00  4.72170e+02  246.150  1.38936e+19  8.32860e+02  4.84000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.00  4.11050e+02  239.650  1.24232e+19  5.14800e+02  5.24700e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  8.00  3.56510e+02  233.150  1.10752e+19  3.30030e+02  5.46700e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  9.00  3.08000e+02  226.650  9.84264e+18  1.42470e+02  5.64300e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 10.00  2.64990e+02  220.150  8.71821e+18  6.29640e+01  5.95100e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 11.00  2.27000e+02  213.650  7.69555e+18  3.25170e+01  6.53400e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 12.00  1.93990e+02  213.650  6.57647e+18  1.71540e+01  8.38200e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 13.00  1.65790e+02  213.650  5.62046e+18  9.76500e+00  1.15500e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
