# AFGL US Standard 1976 - 40 layers (matches OCRT default n_layers=40)
# Source: Anderson et al. 1986 AFGL-TR-86-0110
# z-grid: dense 0-5km (0.5km), 5-16km (~0.5-1km), 16-30km (2km), 30-100km coarse
# n_layers=40 (boundaries; layers = n-1)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
  0.00  1.01325e+03  288.150  2.54692e+19  7.74500e+03  2.66000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  0.50  9.54290e+02  284.900  2.42624e+19  6.85711e+03  2.79174e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.00  8.98760e+02  281.650  2.31127e+19  6.07100e+03  2.93000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  1.50  8.45295e+02  278.400  2.19930e+19  5.30234e+03  3.08110e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.00  7.95010e+02  275.150  2.09276e+19  4.63100e+03  3.24000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  2.50  7.46638e+02  271.900  1.98907e+19  3.83873e+03  3.39146e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.00  7.01210e+02  268.650  1.89051e+19  3.18200e+03  3.55000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  3.50  6.57546e+02  265.400  1.79463e+19  2.62045e+03  3.62912e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.00  6.16600e+02  262.150  1.70361e+19  2.15800e+03  3.71000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  4.50  5.77287e+02  258.900  1.61514e+19  1.73630e+03  3.87149e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.00  5.40480e+02  255.650  1.53127e+19  1.39700e+03  4.04000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  5.50  5.05172e+02  252.400  1.44978e+19  1.13701e+03  4.21616e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.00  4.72170e+02  249.150  1.37263e+19  9.25400e+02  4.40000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  6.50  4.40551e+02  245.900  1.29775e+19  7.27550e+02  4.58127e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.00  4.11050e+02  242.650  1.22696e+19  5.72000e+02  4.77000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  7.50  3.82810e+02  239.400  1.15828e+19  4.57987e+02  4.86897e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  8.00  3.56510e+02  236.150  1.09345e+19  3.66700e+02  4.97000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
  9.00  3.08000e+02  229.650  9.71406e+18  1.58300e+02  5.13000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 10.00  2.64990e+02  223.150  8.60101e+18  6.99600e+01  5.41000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 11.00  2.27000e+02  216.650  7.58899e+18  3.61300e+01  5.94000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 12.00  1.93990e+02  216.650  6.48541e+18  1.90600e+01  7.62000e-02  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 13.00  1.65790e+02  216.650  5.54264e+18  1.08500e+01  1.05000e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.70000e+00
 14.00  1.41700e+02  216.650  4.73727e+18  5.92700e+00  1.46000e-01  2.09500e+05  3.95000e+02  3.00000e-05  1.69000e+00
 15.00  1.21110e+02  216.650  4.04891e+18  4.00000e+00  1.91000e-01  2.09500e+05  3.95000e+02  3.20000e-05  1.68000e+00
 16.00  1.03520e+02  216.650  3.46085e+18  4.00000e+00  2.42000e-01  2.09500e+05  3.95000e+02  3.50000e-05  1.66000e+00
 18.00  7.56520e+01  216.650  2.52917e+18  4.00000e+00  3.84000e-01  2.09500e+05  3.95000e+02  5.00000e-05  1.59000e+00
 20.00  5.52930e+01  216.650  1.84854e+18  4.00000e+00  5.61000e-01  2.09500e+05  3.95000e+02  1.00000e-04  1.48000e+00
 22.00  4.04750e+01  218.550  1.34138e+18  4.00000e+00  7.34000e-01  2.09500e+05  3.95000e+02  2.30000e-04  1.31000e+00
 24.00  2.97170e+01  220.550  9.75921e+17  4.00000e+00  9.05000e-01  2.09500e+05  3.95000e+02  5.20000e-04  1.09000e+00
 26.00  2.18983e+01  222.770  7.12004e+17  4.11740e+00  1.15381e+00  2.09500e+05  3.95000e+02  1.04044e-03  8.16205e-01
 28.00  1.61717e+01  226.300  5.17641e+17  4.37718e+00  1.51838e+00  2.09500e+05  3.95000e+02  1.91704e-03  5.95635e-01
 30.00  1.19700e+01  232.500  3.72896e+17  4.70000e+00  1.93000e+00  2.09500e+05  3.95000e+02  3.10000e-03  4.20000e-01
 33.00  7.49513e+00  241.410  2.24890e+17  5.09622e+00  2.52093e+00  2.09500e+05  3.95000e+02  5.34805e-03  2.48969e-01
 37.00  4.37176e+00  252.690  1.25318e+17  5.89649e+00  3.31358e+00  2.09500e+05  3.95000e+02  8.17626e-03  1.30137e-01
 42.00  2.20141e+00  268.960  5.92877e+16  6.89701e+00  4.31514e+00  2.09500e+05  3.95000e+02  9.21991e-03  5.49280e-02
 50.00  7.97800e-01  247.050  2.33898e+16  7.50000e+00  5.92000e+00  2.09500e+05  3.95000e+02  4.20000e-03  1.80000e-02
 60.00  2.19600e-01  219.700  7.23967e+15  6.00000e+00  6.42000e+00  2.09500e+05  3.94000e+02  4.50000e-04  5.00000e-03
 75.00  2.40000e-02  196.000  8.86894e+14  3.30000e+00  3.92000e+00  2.09500e+05  3.89000e+02  1.00000e-05  5.00000e-04
 90.00  1.84000e-03  232.100  5.74195e+13  1.50000e+00  1.16000e+00  2.07000e+05  3.80000e+02  3.00000e-07  6.00000e-05
100.00  3.20000e-04  322.650  7.18348e+12  5.00000e-01  2.00000e-01  1.80000e+05  3.72000e+02  3.00000e-08  2.00000e-05
