# AFGL Standard Atmosphere: Mid-Latitude Summer (45N July)
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/mls.atm
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 335.5 DU (RFM 원본 335.5 DU, 보간오차 -0.00%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01300e+03  294.200  2.49393e+19  1.87600e+04  3.01700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  9.02000e+02  289.700  2.25515e+19  1.37800e+04  3.33700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  8.02000e+02  285.200  2.03677e+19  9.68000e+03  3.69400e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  7.10000e+02  279.200  1.84187e+19  5.98400e+03  4.22200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  6.28000e+02  273.200  1.66493e+19  3.81300e+03  4.82100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69700e+00
  5.00  5.54000e+02  267.200  1.50172e+19  2.22500e+03  5.51200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.68700e+00
  6.00  4.87000e+02  261.200  1.35043e+19  1.51000e+03  6.40800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.67200e+00
  7.00  4.26000e+02  254.700  1.21143e+19  1.02000e+03  7.76400e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.64900e+00
  8.00  3.72000e+02  248.200  1.08557e+19  6.46400e+02  9.12600e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.62900e+00
  9.00  3.24000e+02  241.700  9.70924e+18  4.12900e+02  1.11100e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.61500e+00
 10.00  2.81000e+02  235.300  8.64970e+18  2.47200e+02  1.30400e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.57900e+00
