# AFGL Standard Atmosphere: Sub-Arctic Summer (60N July)
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/sas.atm
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 348.8 DU (RFM 원본 348.8 DU, 보간오차 -0.00%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01000e+03  287.200  2.54714e+19  1.19400e+04  2.41200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  8.96000e+02  281.700  2.30376e+19  8.70100e+03  2.94000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  7.92900e+02  276.300  2.07852e+19  6.75000e+03  3.37900e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  7.00000e+02  270.900  1.87157e+19  4.82000e+03  3.88700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  6.16000e+02  265.500  1.68048e+19  3.38000e+03  4.47800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69700e+00
  5.00  5.41000e+02  260.100  1.50652e+19  2.21800e+03  5.32800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.68700e+00
  6.00  4.74000e+02  253.100  1.35645e+19  1.33000e+03  6.56400e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.67200e+00
  7.00  4.13000e+02  246.100  1.21550e+19  7.97100e+02  7.73800e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.64900e+00
  8.00  3.59000e+02  239.200  1.08705e+19  3.99600e+02  9.11400e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.62900e+00
  9.00  3.10800e+02  232.200  9.69473e+18  1.30000e+02  1.42000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.61500e+00
