# AFGL Standard Atmosphere: Tropical
# Reference: FASCODE Model (RFM .atm, equivalent to Anderson 1986 AFGL-TR-86-0110)
# Source: https://eodg.atm.ox.ac.uk/RFM/atm/tro.atm
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# Converted from RFM 50-level (0-120 km) by linear interp on z; P,H2O,O3,CH4 use log-space
# NO2 column 보존: 기존 OCRT 파일 mr_NO2 그대로 (RFM 에 NO2 없음)
# Verified: O3 column = 283.5 DU (RFM 원본 283.5 DU, 보간오차 -0.00%)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
  0.00  1.01300e+03  299.700  2.44816e+19  2.59300e+04  2.86900e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  1.00  9.04000e+02  293.700  2.22937e+19  1.94900e+04  3.15000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  2.00  8.05000e+02  287.700  2.02662e+19  1.53400e+04  3.34200e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  3.00  7.15000e+02  283.700  1.82542e+19  8.60000e+03  3.50400e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  4.00  6.33000e+02  277.000  1.65516e+19  4.44100e+03  3.56100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  5.00  5.59000e+02  270.300  1.49790e+19  3.34600e+03  3.76700e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  6.00  4.92000e+02  263.600  1.35187e+19  2.10100e+03  3.98900e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.70000e+00
  7.00  4.32000e+02  257.000  1.21750e+19  1.28900e+03  4.22300e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69900e+00
  8.00  3.78000e+02  250.300  1.09382e+19  7.63700e+02  4.47100e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69700e+00
  9.00  3.29000e+02  243.600  9.78217e+18  4.09800e+02  5.00000e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.69300e+00
 10.00  2.86000e+02  237.000  8.74046e+18  1.91200e+02  5.59500e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.68500e+00
 11.00  2.47000e+02  230.100  7.77494e+18  7.30600e+01  6.61300e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.67500e+00
 12.00  2.13000e+02  223.600  6.89961e+18  2.90500e+01  7.81500e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.66200e+00
 13.00  1.82000e+02  217.000  6.07475e+18  9.90000e+00  9.28900e-02  2.09000e+05  3.30000e+02  3.00000e-05  1.64500e+00
 14.00  1.56000e+02  210.300  5.37282e+18  6.22000e+00  1.05000e-01  2.09000e+05  3.30000e+02  3.00000e-05  1.62600e+00
 15.00  1.32000e+02  203.700  4.69353e+18  4.00000e+00  1.25600e-01  2.09000e+05  3.30000e+02  3.20000e-05  1.60500e+00
 16.00  1.11000e+02  197.000  4.08106e+18  3.00000e+00  1.44400e-01  2.09000e+05  3.30000e+02  3.50000e-05  1.58200e+00
 17.00  9.37000e+01  194.800  3.48391e+18  2.90000e+00  2.50000e-01  2.09000e+05  3.30000e+02  4.00000e-05  1.55300e+00
 18.00  7.89000e+01  198.800  2.87460e+18  2.75000e+00  5.00000e-01  2.09000e+05  3.30000e+02  5.00000e-05  1.52100e+00
 19.00  6.66000e+01  202.700  2.37978e+18  2.60000e+00  9.50000e-01  2.09000e+05  3.30000e+02  7.00000e-05  1.48000e+00
 20.00  5.65000e+01  206.700  1.97982e+18  2.60000e+00  1.40000e+00  2.09000e+05  3.30000e+02  1.00000e-04  1.42400e+00
 21.00  4.80000e+01  210.700  1.65004e+18  2.65000e+00  1.80000e+00  2.09000e+05  3.30000e+02  1.50000e-04  1.35500e+00
 22.00  4.09000e+01  214.600  1.38042e+18  2.80000e+00  2.40000e+00  2.09000e+05  3.30000e+02  2.30000e-04  1.27200e+00
