# OCRT canonical Ahn TSM mass-specific absorption coefficient.
# Species: calcareoussand (Calcareous sand).
# Physical relation: a_min(lambda) [m^-1] = a_star_min(lambda) [m^2 g^-1] * TSM [g m^-3].
# Unit of the second column: m^2 g^-1.
#
# Spectral data policy adopted 2026-08-29 (supersedes the 2026-08-10 policy):
#   450-700 nm : previous canonical values, UNCHANGED (bit-identical).
#   400-450 nm : LINEAR blend, value = w*(Mie graft) + (1-w)*(previous canonical),
#                w = (450 - lambda)/50, so w = 1 at 400 nm and w = 0 at 450 nm.
#   330-400 nm : Mie graft. REPLACES the 2026-08-10 OLS linear extrapolation, which
#                extended the 400-420 nm slope downward and therefore missed the b*
#                local minimum near 400 nm (sign of db*/dlambda was reversed).
#   700-750 nm : LINEAR blend, w = (lambda - 700)/50, w = 0 at 700 nm, w = 1 at 750 nm.
#   750-1100 nm: Mie graft.
#   >1100 nm   : previous canonical sparse nodes (1240/1536/1650/1950/2250/3750 nm), UNCHANGED.
#
# Mie graft model (see METHOD.md for the full derivation):
#   lognormal size distribution, untruncated over +-4.5 sigma, sigma = 1.5 FIXED by the
#   g(lambda) spectrum carried in Calcareous_sand_AHN.mie; in-water convention n_med = 1.34;
#   real refractive index nr(lambda) from OPAC mineral (TSM_mineral.inp, 20 nodes).
#   Effective median radius Rmean is the ONLY free parameter and is constrained solely
#   inside the blend window adjacent to each graft point.
#     Rmean_eff (UV, 400-450 nm window)  = 0.4070 um
#     Rmean_eff (NIR, 700-750 nm window) = 0.5464 um   (matched to alpha = 0.802)
#   ni(lambda): UV side inverted from the scale-free ratio a*/b* = Cabs/Csca and extended
#   log-linearly below 400 nm (mineral absorption rises exponentially into the UV);
#   NIR side held FLAT above 750 nm (OPAC mineral ni has a plateau over 760-860 nm and
#   rises again toward 1240 nm, so continuing the visible-band decay is unphysical).
#
# WARNING: Rmean_eff is an EFFECTIVE spectral-slope parameter, not a physical particle size.
#   It disagrees with the g-derived radius (~0.10 um) by a factor of ~4-5. Do NOT use
#   Rmean_eff for phase function, P11/P12/P33 or bb/b. Those remain governed by the
#   Calcareous_sand_AHN.mie phase blocks.
# NOTE: a slope discontinuity at exactly 700 nm is present in the PREVIOUS canonical data
#   itself and is passed through unchanged; it is not introduced by this revision.
# NOTE: this scalar revision does NOT update the Calcareous_sand_AHN.mie phase blocks, nor the bulk
#   Extinct_Co/Scatter_Co columns mirrored into it. Re-mirroring is a separate task.
#
# Provenance: previous file SHA256 = 144abf963675febcc737f33448f03838f943269200e95f2bd893cc8a01ce516c
# Generated by src/regenerate.py of package OCRT_TSM_astar_bstar_MIEgraft_2026-08-29_KST
# wavelength_nm mass_specific_coefficient_m2_per_g
330.000000 6.326961522181e-02
331.000000 6.277355897048e-02
332.000000 6.227931322934e-02
333.000000 6.178833185807e-02
334.000000 6.130750824340e-02
335.000000 6.083085215426e-02
336.000000 6.035447153818e-02
337.000000 5.987992464773e-02
338.000000 5.940797056065e-02
339.000000 5.894517843795e-02
340.000000 5.848742025639e-02
341.000000 5.803020413701e-02
342.000000 5.757467617511e-02
343.000000 5.712117098159e-02
344.000000 5.667525758322e-02
345.000000 5.623565971229e-02
346.000000 5.579709057920e-02
347.000000 5.535986064777e-02
348.000000 5.492450623157e-02
349.000000 5.449449756622e-02
350.000000 5.407200685397e-02
351.000000 5.363402216472e-02
352.000000 5.319706891268e-02
353.000000 5.276223006802e-02
354.000000 5.233167574324e-02
355.000000 5.190891354366e-02
356.000000 5.148880417045e-02
357.000000 5.106978532803e-02
358.000000 5.065297715129e-02
359.000000 5.023951680316e-02
360.000000 4.983325370622e-02
361.000000 4.943037465666e-02
362.000000 4.902872265922e-02
363.000000 4.862924867706e-02
364.000000 4.823235365188e-02
365.000000 4.784171030851e-02
366.000000 4.745533450925e-02
367.000000 4.707048708308e-02
368.000000 4.668761355861e-02
369.000000 4.630695927343e-02
370.000000 4.593113366057e-02
371.000000 4.556040411685e-02
372.000000 4.519173256754e-02
373.000000 4.482477999978e-02
374.000000 4.446004785855e-02
375.000000 4.409859529531e-02
376.000000 4.374244464720e-02
377.000000 4.338923132500e-02
378.000000 4.303764631949e-02
379.000000 4.268828712747e-02
380.000000 4.234121215414e-02
381.000000 4.199857209653e-02
382.000000 4.165992459681e-02
383.000000 4.132319256047e-02
384.000000 4.098845475646e-02
385.000000 4.065584066003e-02
386.000000 4.032621841026e-02
387.000000 4.000091624224e-02
388.000000 3.967842862178e-02
389.000000 3.935765933690e-02
390.000000 3.903914294746e-02
391.000000 3.872271765100e-02
392.000000 3.840977571446e-02
393.000000 3.810042955761e-02
394.000000 3.779328464299e-02
395.000000 3.748800048866e-02
396.000000 3.718492838879e-02
397.000000 3.688414634124e-02
398.000000 3.658681734573e-02
399.000000 3.629242921799e-02
400.000000 3.600000000000e-02
401.000000 3.570471949444e-02
402.000000 3.541933565091e-02
403.000000 3.513210524302e-02
404.000000 3.484745678173e-02
405.000000 3.457454385324e-02
406.000000 3.430671408995e-02
407.000000 3.403003835089e-02
408.000000 3.377038940371e-02
409.000000 3.349810354746e-02
410.000000 3.324707175695e-02
411.000000 3.300064455567e-02
412.000000 3.275852107395e-02
413.000000 3.250442806525e-02
414.000000 3.227787113375e-02
415.000000 3.202504714441e-02
416.000000 3.180377199253e-02
417.000000 3.158562543227e-02
418.000000 3.133435926975e-02
419.000000 3.108198982957e-02
420.000000 3.086837918058e-02
421.000000 3.061559870511e-02
422.000000 3.044960740628e-02
423.000000 3.019805359387e-02
424.000000 2.994466821196e-02
425.000000 2.973940726199e-02
426.000000 2.953619770301e-02
427.000000 2.933499259187e-02
428.000000 2.907980822647e-02
429.000000 2.882242490753e-02
430.000000 2.856258657115e-02
431.000000 2.836215477132e-02
432.000000 2.809908924541e-02
433.000000 2.789929554137e-02
434.000000 2.770076552930e-02
435.000000 2.743339229094e-02
436.000000 2.716297582818e-02
437.000000 2.696335325112e-02
438.000000 2.676444671425e-02
439.000000 2.648816740961e-02
440.000000 2.628844581269e-02
441.000000 2.600722632924e-02
442.000000 2.580637495411e-02
443.000000 2.560575123212e-02
444.000000 2.531708490332e-02
445.000000 2.511451868357e-02
446.000000 2.491195956272e-02
447.000000 2.470932773953e-02
448.000000 2.441052817865e-02
449.000000 2.430345100607e-02
450.000000 2.400000000000e-02
451.000000 2.380000000000e-02
452.000000 2.360000000000e-02
453.000000 2.330000000000e-02
454.000000 2.320000000000e-02
455.000000 2.300000000000e-02
456.000000 2.290000000000e-02
457.000000 2.260000000000e-02
458.000000 2.240000000000e-02
459.000000 2.220000000000e-02
460.000000 2.210000000000e-02
461.000000 2.200000000000e-02
462.000000 2.180000000000e-02
463.000000 2.160000000000e-02
464.000000 2.140000000000e-02
465.000000 2.130000000000e-02
466.000000 2.120000000000e-02
467.000000 2.100000000000e-02
468.000000 2.080000000000e-02
469.000000 2.080000000000e-02
470.000000 2.060000000000e-02
471.000000 2.050000000000e-02
472.000000 2.030000000000e-02
473.000000 2.020000000000e-02
474.000000 2.020000000000e-02
475.000000 2.000000000000e-02
476.000000 1.990000000000e-02
477.000000 1.980000000000e-02
478.000000 1.970000000000e-02
479.000000 1.960000000000e-02
480.000000 1.950000000000e-02
481.000000 1.940000000000e-02
482.000000 1.934000000000e-02
483.000000 1.926000000000e-02
484.000000 1.920000000000e-02
485.000000 1.903000000000e-02
486.000000 1.897000000000e-02
487.000000 1.892000000000e-02
488.000000 1.887000000000e-02
489.000000 1.881000000000e-02
490.000000 1.866000000000e-02
491.000000 1.860000000000e-02
492.000000 1.855000000000e-02
493.000000 1.849000000000e-02
494.000000 1.842000000000e-02
495.000000 1.835000000000e-02
496.000000 1.828000000000e-02
497.000000 1.821000000000e-02
498.000000 1.814000000000e-02
499.000000 1.807000000000e-02
500.000000 1.800000000000e-02
501.000000 1.793000000000e-02
502.000000 1.786000000000e-02
503.000000 1.778000000000e-02
504.000000 1.772000000000e-02
505.000000 1.764000000000e-02
506.000000 1.757000000000e-02
507.000000 1.749000000000e-02
508.000000 1.741000000000e-02
509.000000 1.733000000000e-02
510.000000 1.725000000000e-02
511.000000 1.717000000000e-02
512.000000 1.709000000000e-02
513.000000 1.701000000000e-02
514.000000 1.693000000000e-02
515.000000 1.685000000000e-02
516.000000 1.677000000000e-02
517.000000 1.668000000000e-02
518.000000 1.660000000000e-02
519.000000 1.652000000000e-02
