# OCRT canonical Ahn TSM mass-specific scattering coefficient.
# Species: brownearth (Brown earth).
# Physical relation: b_min(lambda) [m^-1] = b_star_min(lambda) [m^2 g^-1] * TSM [g m^-3].
# Unit of the second column: m^2 g^-1.
#
# Spectral data policy adopted 2026-08-29 (supersedes the 2026-08-10 policy):
#   450-700 nm : previous canonical values, UNCHANGED (bit-identical).
#   400-450 nm : LINEAR blend, value = w*(Mie graft) + (1-w)*(previous canonical),
#                w = (450 - lambda)/50, so w = 1 at 400 nm and w = 0 at 450 nm.
#   330-400 nm : Mie graft. REPLACES the 2026-08-10 OLS linear extrapolation, which
#                extended the 400-420 nm slope downward and therefore missed the b*
#                local minimum near 400 nm (sign of db*/dlambda was reversed).
#   700-750 nm : LINEAR blend, w = (lambda - 700)/50, w = 0 at 700 nm, w = 1 at 750 nm.
#   750-1100 nm: Mie graft.
#   >1100 nm   : previous canonical sparse nodes (1240/1536/1650/1950/2250/3750 nm), UNCHANGED.
#
# Mie graft model (see METHOD.md for the full derivation):
#   lognormal size distribution, untruncated over +-4.5 sigma, sigma = 1.5 FIXED by the
#   g(lambda) spectrum carried in Brown_earth_AHN.mie; in-water convention n_med = 1.34;
#   real refractive index nr(lambda) from OPAC mineral (TSM_mineral.inp, 20 nodes).
#   Effective median radius Rmean is the ONLY free parameter and is constrained solely
#   inside the blend window adjacent to each graft point.
#     Rmean_eff (UV, 400-450 nm window)  = 0.5842 um
#     Rmean_eff (NIR, 700-750 nm window) = 0.5908 um   (matched to alpha = 0.636)
#   ni(lambda): UV side inverted from the scale-free ratio a*/b* = Cabs/Csca and extended
#   log-linearly below 400 nm (mineral absorption rises exponentially into the UV);
#   NIR side held FLAT above 750 nm (OPAC mineral ni has a plateau over 760-860 nm and
#   rises again toward 1240 nm, so continuing the visible-band decay is unphysical).
#
# WARNING: Rmean_eff is an EFFECTIVE spectral-slope parameter, not a physical particle size.
#   It disagrees with the g-derived radius (~0.10 um) by a factor of ~4-5. Do NOT use
#   Rmean_eff for phase function, P11/P12/P33 or bb/b. Those remain governed by the
#   Brown_earth_AHN.mie phase blocks.
# NOTE: a slope discontinuity at exactly 700 nm is present in the PREVIOUS canonical data
#   itself and is passed through unchanged; it is not introduced by this revision.
# NOTE: this scalar revision does NOT update the Brown_earth_AHN.mie phase blocks, nor the bulk
#   Extinct_Co/Scatter_Co columns mirrored into it. Re-mirroring is a separate task.
#
# Provenance: previous file SHA256 = f82c8be23a2733ac0520cb8a02920df5ebbf727b71ef1af927fc29d8069ed2cc
# Generated by src/regenerate.py of package OCRT_TSM_astar_bstar_MIEgraft_2026-08-29_KST
# wavelength_nm mass_specific_coefficient_m2_per_g
330.000000 5.582166407784e-01
331.000000 5.600022109042e-01
332.000000 5.617908472047e-01
333.000000 5.635816530525e-01
334.000000 5.653731194214e-01
335.000000 5.671651959240e-01
336.000000 5.689590868534e-01
337.000000 5.707556143188e-01
338.000000 5.725540258771e-01
339.000000 5.743526537228e-01
340.000000 5.761511774244e-01
341.000000 5.779507851573e-01
342.000000 5.797525486062e-01
343.000000 5.815560373446e-01
344.000000 5.833594773029e-01
345.000000 5.851620956907e-01
346.000000 5.869649269138e-01
347.000000 5.887693008794e-01
348.000000 5.905752992804e-01
349.000000 5.923812408278e-01
350.000000 5.941857578887e-01
351.000000 5.962191963070e-01
352.000000 5.982568687905e-01
353.000000 6.002993902808e-01
354.000000 6.023450599759e-01
355.000000 6.043919034171e-01
356.000000 6.064403327222e-01
357.000000 6.084920857160e-01
358.000000 6.105480908717e-01
359.000000 6.126069185293e-01
360.000000 6.146662975748e-01
361.000000 6.167261907054e-01
362.000000 6.187883000380e-01
363.000000 6.208539344452e-01
364.000000 6.229221799854e-01
365.000000 6.249905564738e-01
366.000000 6.270583468595e-01
367.000000 6.291270404425e-01
368.000000 6.311982950931e-01
369.000000 6.332719525564e-01
370.000000 6.353456161560e-01
371.000000 6.374177224632e-01
372.000000 6.394892512646e-01
373.000000 6.415620568313e-01
374.000000 6.436368521879e-01
375.000000 6.457118148654e-01
376.000000 6.477846091889e-01
377.000000 6.498553037102e-01
378.000000 6.519256650529e-01
379.000000 6.539971523880e-01
380.000000 6.560690327686e-01
381.000000 6.581387035018e-01
382.000000 6.602049812058e-01
383.000000 6.622690910374e-01
384.000000 6.643328785379e-01
385.000000 6.663969077928e-01
386.000000 6.684592101749e-01
387.000000 6.705174647963e-01
388.000000 6.725717352504e-01
389.000000 6.746237508759e-01
390.000000 6.766750451369e-01
391.000000 6.787251056906e-01
392.000000 6.807713817817e-01
393.000000 6.828123608387e-01
394.000000 6.848489611726e-01
395.000000 6.868830158162e-01
396.000000 6.889155253351e-01
397.000000 6.909450767939e-01
398.000000 6.929691241082e-01
399.000000 6.949869773100e-01
400.000000 6.970000000000e-01
401.000000 6.991277422005e-01
402.000000 7.012641727325e-01
403.000000 7.034103627392e-01
404.000000 7.055666332303e-01
405.000000 7.077338410201e-01
406.000000 7.099162486810e-01
407.000000 7.121186434885e-01
408.000000 7.143416215158e-01
409.000000 7.165815556317e-01
410.000000 7.188321120163e-01
411.000000 7.210975061543e-01
412.000000 7.233842841475e-01
413.000000 7.254348711708e-01
414.000000 7.275120988414e-01
415.000000 7.296047014590e-01
416.000000 7.317157215314e-01
417.000000 7.338510360699e-01
418.000000 7.360042189490e-01
419.000000 7.381594056709e-01
