# OCRT canonical Ahn TSM mass-specific scattering coefficient.
# Species: calcareoussand (Calcareous sand).
# Physical relation: b_min(lambda) [m^-1] = b_star_min(lambda) [m^2 g^-1] * TSM [g m^-3].
# Unit of the second column: m^2 g^-1.
#
# Spectral data policy adopted 2026-08-29 (supersedes the 2026-08-10 policy):
#   450-700 nm : previous canonical values, UNCHANGED (bit-identical).
#   400-450 nm : LINEAR blend, value = w*(Mie graft) + (1-w)*(previous canonical),
#                w = (450 - lambda)/50, so w = 1 at 400 nm and w = 0 at 450 nm.
#   330-400 nm : Mie graft. REPLACES the 2026-08-10 OLS linear extrapolation, which
#                extended the 400-420 nm slope downward and therefore missed the b*
#                local minimum near 400 nm (sign of db*/dlambda was reversed).
#   700-750 nm : LINEAR blend, w = (lambda - 700)/50, w = 0 at 700 nm, w = 1 at 750 nm.
#   750-1100 nm: Mie graft.
#   >1100 nm   : previous canonical sparse nodes (1240/1536/1650/1950/2250/3750 nm), UNCHANGED.
#
# Mie graft model (see METHOD.md for the full derivation):
#   lognormal size distribution, untruncated over +-4.5 sigma, sigma = 1.5 FIXED by the
#   g(lambda) spectrum carried in Calcareous_sand_AHN.mie; in-water convention n_med = 1.34;
#   real refractive index nr(lambda) from OPAC mineral (TSM_mineral.inp, 20 nodes).
#   Effective median radius Rmean is the ONLY free parameter and is constrained solely
#   inside the blend window adjacent to each graft point.
#     Rmean_eff (UV, 400-450 nm window)  = 0.4070 um
#     Rmean_eff (NIR, 700-750 nm window) = 0.5464 um   (matched to alpha = 0.802)
#   ni(lambda): UV side inverted from the scale-free ratio a*/b* = Cabs/Csca and extended
#   log-linearly below 400 nm (mineral absorption rises exponentially into the UV);
#   NIR side held FLAT above 750 nm (OPAC mineral ni has a plateau over 760-860 nm and
#   rises again toward 1240 nm, so continuing the visible-band decay is unphysical).
#
# WARNING: Rmean_eff is an EFFECTIVE spectral-slope parameter, not a physical particle size.
#   It disagrees with the g-derived radius (~0.10 um) by a factor of ~4-5. Do NOT use
#   Rmean_eff for phase function, P11/P12/P33 or bb/b. Those remain governed by the
#   Calcareous_sand_AHN.mie phase blocks.
# NOTE: a slope discontinuity at exactly 700 nm is present in the PREVIOUS canonical data
#   itself and is passed through unchanged; it is not introduced by this revision.
# NOTE: this scalar revision does NOT update the Calcareous_sand_AHN.mie phase blocks, nor the bulk
#   Extinct_Co/Scatter_Co columns mirrored into it. Re-mirroring is a separate task.
#
# Provenance: previous file SHA256 = c4a6fb46c09a444222283308dae02c5c5d764f4745a245a4f8fcb50b013b6115
# Generated by src/regenerate.py of package OCRT_TSM_astar_bstar_MIEgraft_2026-08-29_KST
# wavelength_nm mass_specific_coefficient_m2_per_g
330.000000 9.524394133842e-01
331.000000 9.540559243126e-01
332.000000 9.556575845847e-01
333.000000 9.572524212168e-01
334.000000 9.588518396782e-01
335.000000 9.604395058826e-01
336.000000 9.620032087321e-01
337.000000 9.635513551925e-01
338.000000 9.650907554377e-01
339.000000 9.666334923871e-01
340.000000 9.681673463835e-01
341.000000 9.696777200270e-01
342.000000 9.711712357274e-01
343.000000 9.726538236992e-01
344.000000 9.741374789057e-01
345.000000 9.756162193052e-01
346.000000 9.770731121734e-01
347.000000 9.785111319820e-01
348.000000 9.799364077817e-01
349.000000 9.813588512181e-01
350.000000 9.827802427761e-01
351.000000 9.844504696497e-01
352.000000 9.860929587392e-01
353.000000 9.877153345459e-01
354.000000 9.893261710418e-01
355.000000 9.909304933821e-01
356.000000 9.925114447568e-01
357.000000 9.940637007771e-01
358.000000 9.955944779897e-01
359.000000 9.971105078573e-01
360.000000 9.986187340428e-01
361.000000 1.000105724733e+00
362.000000 1.001563268654e+00
363.000000 1.002997627806e+00
364.000000 1.004413997982e+00
365.000000 1.005820581244e+00
366.000000 1.007208771623e+00
367.000000 1.008567671605e+00
368.000000 1.009901202337e+00
369.000000 1.011214011566e+00
370.000000 1.012513787965e+00
371.000000 1.013797991265e+00
372.000000 1.015054642622e+00
373.000000 1.016283512890e+00
374.000000 1.017489592675e+00
375.000000 1.018678398041e+00
376.000000 1.019853069783e+00
377.000000 1.021003660589e+00
378.000000 1.022124935019e+00
379.000000 1.023221353320e+00
380.000000 1.024296583109e+00
381.000000 1.025356387597e+00
382.000000 1.026396309944e+00
383.000000 1.027407731681e+00
384.000000 1.028391724443e+00
385.000000 1.029352015063e+00
386.000000 1.030293130348e+00
387.000000 1.031216907069e+00
388.000000 1.032115765430e+00
389.000000 1.032985484826e+00
390.000000 1.033829496083e+00
391.000000 1.034650589367e+00
392.000000 1.035453235305e+00
393.000000 1.036235147387e+00
394.000000 1.036989509074e+00
395.000000 1.037715667205e+00
396.000000 1.038416862026e+00
397.000000 1.039095946132e+00
398.000000 1.039755777449e+00
399.000000 1.040392071893e+00
400.000000 1.041000000000e+00
401.000000 1.041567514861e+00
402.000000 1.042078597544e+00
403.000000 1.042543987704e+00
404.000000 1.042963867583e+00
405.000000 1.043335311982e+00
406.000000 1.043657853789e+00
407.000000 1.043935381280e+00
408.000000 1.044171575936e+00
409.000000 1.044388466554e+00
410.000000 1.044552575493e+00
411.000000 1.044678336243e+00
412.000000 1.044767105386e+00
413.000000 1.044939126990e+00
414.000000 1.045064094110e+00
415.000000 1.045168206623e+00
416.000000 1.045251373327e+00
417.000000 1.045312432306e+00
418.000000 1.045387746145e+00
419.000000 1.045409291695e+00
420.000000 1.045412731896e+00
421.000000 1.045399971597e+00
422.000000 1.045327709427e+00
423.000000 1.045281263930e+00
424.000000 1.045218663012e+00
425.000000 1.045091371522e+00
426.000000 1.044946942402e+00
427.000000 1.044786889033e+00
428.000000 1.044612380730e+00
429.000000 1.044423369823e+00
430.000000 1.044219799734e+00
431.000000 1.043940552296e+00
432.000000 1.043709042073e+00
433.000000 1.043400487465e+00
434.000000 1.043010136717e+00
435.000000 1.042672538743e+00
436.000000 1.042321825298e+00
437.000000 1.041884530292e+00
438.000000 1.041431750265e+00
439.000000 1.040964560607e+00
440.000000 1.040403998651e+00
441.000000 1.039908939385e+00
442.000000 1.039317846626e+00
443.000000 1.038625218265e+00
444.000000 1.037996626238e+00
445.000000 1.037265809101e+00
446.000000 1.036519739566e+00
447.000000 1.035665343501e+00
448.000000 1.034889406705e+00
449.000000 1.033904672273e+00
450.000000 1.033000000000e+00
451.000000 1.032300000000e+00
452.000000 1.031600000000e+00
453.000000 1.030900000000e+00
454.000000 1.030100000000e+00
455.000000 1.029300000000e+00
456.000000 1.028400000000e+00
457.000000 1.027600000000e+00
458.000000 1.026700000000e+00
459.000000 1.025800000000e+00
460.000000 1.024800000000e+00
461.000000 1.023800000000e+00
462.000000 1.022800000000e+00
463.000000 1.021800000000e+00
464.000000 1.020800000000e+00
465.000000 1.019700000000e+00
466.000000 1.018600000000e+00
467.000000 1.017500000000e+00
468.000000 1.016400000000e+00
469.000000 1.015200000000e+00
470.000000 1.014100000000e+00
471.000000 1.012900000000e+00
472.000000 1.011700000000e+00
473.000000 1.010500000000e+00
474.000000 1.009200000000e+00
475.000000 1.008000000000e+00
476.000000 1.006700000000e+00
477.000000 1.005500000000e+00
478.000000 1.004200000000e+00
479.000000 1.002900000000e+00
480.000000 1.001600000000e+00
481.000000 1.000300000000e+00
482.000000 9.989600000000e-01
483.000000 9.976400000000e-01
484.000000 9.963000000000e-01
485.000000 9.949700000000e-01
486.000000 9.936300000000e-01
487.000000 9.922800000000e-01
488.000000 9.909300000000e-01
489.000000 9.895900000000e-01
490.000000 9.882400000000e-01
491.000000 9.869000000000e-01
492.000000 9.855500000000e-01
493.000000 9.842100000000e-01
494.000000 9.828800000000e-01
495.000000 9.815500000000e-01
496.000000 9.802300000000e-01
497.000000 9.789100000000e-01
498.000000 9.776000000000e-01
499.000000 9.762900000000e-01
500.000000 9.750000000000e-01
501.000000 9.737200000000e-01
502.000000 9.724500000000e-01
503.000000 9.711900000000e-01
504.000000 9.699300000000e-01
505.000000 9.686800000000e-01
506.000000 9.674300000000e-01
507.000000 9.661900000000e-01
508.000000 9.649600000000e-01
509.000000 9.637200000000e-01
510.000000 9.624800000000e-01
511.000000 9.612400000000e-01
512.000000 9.600000000000e-01
513.000000 9.587500000000e-01
514.000000 9.575000000000e-01
515.000000 9.562400000000e-01
516.000000 9.549700000000e-01
517.000000 9.537000000000e-01
518.000000 9.524100000000e-01
519.000000 9.511100000000e-01
520.000000 9.498000000000e-01
521.000000 9.484700000000e-01
522.000000 9.471300000000e-01
523.000000 9.457700000000e-01
524.000000 9.444000000000e-01
525.000000 9.430000000000e-01
526.000000 9.415800000000e-01
527.000000 9.401500000000e-01
528.000000 9.386900000000e-01
529.000000 9.372100000000e-01
530.000000 9.357200000000e-01
531.000000 9.342100000000e-01
532.000000 9.326700000000e-01
533.000000 9.311100000000e-01
534.000000 9.295400000000e-01
535.000000 9.279500000000e-01
