# OCRT default chlorophyll-a-specific phytoplankton absorption coefficient.
# Physical quantity: a_ph_star(lambda) = a_ph(lambda) / TChl-a [m2 mg-1 Chl-a].
# Runtime equation: a_ph(lambda) [m-1] = a_ph_star(lambda) [m2 mg-1] * TChl-a [mg m-3].
# Therefore, at TChl-a=1 mg m-3, a_ph is numerically equal to this table.
# This is whole-cell phytoplankton pigment absorption normalized by TChl-a, not pure molecular chlorophyll-a absorption.
# OCRT naming note: legacy labels a_chla_star/a_chl mean a_ph_star/a_ph; they do not isolate molecular Chl-a.
# Source: Lomas et al. (2024), Scientific Data 11:168, DOI 10.1038/s41597-024-03001-z; Dryad DOI 10.5061/dryad.rbnzs7hfg.
# Frozen PLOPS-derived source table: 300-800 nm in phyto_absorption_plops2024_class_balanced_300_800_1nm_smoothed.csv.
# Runtime source-derived segment: 330-750 nm inclusive.
# Representative construction: 34 screened cultures; median within 6 taxonomic classes; median across classes.
# Smoothing: 5-point centered moving average on a 1-nm grid, reflected endpoint padding.
# Project closure: a_ph_star is linearly tapered from its 750-nm value (2.2351120859219934e-05) to exact zero at 800 nm.
# Taper equation for 750<=lambda<=800 nm: a_ph_star(lambda)=a_ph_star(750)+(-4.4702241718439867e-07)*(lambda-750).
# All values from 800 through 1100 nm are explicit exact zeros.
# The 751-800 nm taper and 800-1100 nm zero segment are OCRT project decisions, not PLOPS measurements.
# Runtime policy: generic in-range linear interpolation only; no Chl-specific wavelength branch or endpoint clamp.
# Column 2 unit: m2 mg-1 Chl-a. Rows are strictly increasing in wavelength.
# wavelength_nm,a_ph_star_m2_per_mg_chla
330,8.920251808570e-03
331,9.076393338351e-03
332,9.444525538791e-03
333,9.465025954176e-03
334,9.653753162597e-03
335,9.667066246666e-03
336,9.841746666894e-03
337,9.882733073592e-03
338,9.985821135187e-03
339,9.986128260637e-03
340,1.011971586299e-02
341,1.005542505428e-02
342,1.001767739584e-02
343,1.004849285463e-02
344,9.976999079865e-03
345,9.845587632237e-03
346,9.746848186678e-03
347,9.623252334089e-03
348,9.460885971715e-03
349,9.388925610538e-03
350,9.335539890074e-03
351,9.261036882360e-03
352,9.199014407405e-03
353,9.161192386643e-03
354,9.121003598698e-03
355,9.088832319147e-03
356,9.093204653652e-03
357,9.136638992080e-03
358,9.177964875895e-03
359,9.230656026684e-03
360,9.324232259988e-03
361,9.400018827357e-03
362,9.477708395434e-03
363,9.586991885021e-03
364,9.686722635160e-03
365,9.794175678687e-03
366,9.917970157801e-03
367,1.005871633059e-02
368,1.019900371518e-02
369,1.036845254940e-02
370,1.051165803626e-02
371,1.065760207514e-02
372,1.081298914291e-02
373,1.096925560686e-02
374,1.113442153170e-02
375,1.131960333603e-02
376,1.150389418260e-02
377,1.168275793964e-02
378,1.183315119969e-02
379,1.198923524497e-02
380,1.212475256436e-02
381,1.227148446698e-02
382,1.238343433661e-02
383,1.251278489421e-02
384,1.261758686204e-02
385,1.272385271010e-02
386,1.280389427945e-02
387,1.290461897738e-02
388,1.298781143936e-02
389,1.306997689448e-02
390,1.314459212217e-02
391,1.323637849263e-02
392,1.330658830438e-02
393,1.337920158453e-02
394,1.345984105018e-02
395,1.353058505409e-02
396,1.359020457011e-02
397,1.367809598166e-02
398,1.376892647112e-02
399,1.386066320579e-02
400,1.397489789759e-02
401,1.411299136752e-02
402,1.425593492258e-02
403,1.441137436732e-02
404,1.457468824131e-02
405,1.474314907271e-02
406,1.491834935021e-02
407,1.509178716186e-02
408,1.527069025198e-02
409,1.545938355649e-02
410,1.563416116279e-02
411,1.580217870716e-02
412,1.595135900263e-02
413,1.608745557576e-02
414,1.620072485687e-02
415,1.630652704383e-02
416,1.639755971913e-02
417,1.648321416496e-02
418,1.656645051869e-02
419,1.663402660863e-02
420,1.670358603150e-02
421,1.677213879426e-02
422,1.684720088609e-02
423,1.693062732074e-02
424,1.702634095768e-02
425,1.713344369497e-02
426,1.725179410272e-02
427,1.738362193426e-02
428,1.752694627153e-02
429,1.768621313579e-02
430,1.784857368066e-02
431,1.800676991264e-02
432,1.816744043550e-02
433,1.830928805137e-02
434,1.844095939523e-02
435,1.855891031052e-02
436,1.865261931608e-02
437,1.872039170564e-02
438,1.876703607317e-02
439,1.877162567818e-02
440,1.873398608492e-02
441,1.866643454251e-02
442,1.854603304654e-02
443,1.838492806522e-02
444,1.820084924031e-02
445,1.802298258991e-02
446,1.785152359939e-02
447,1.770760297220e-02
448,1.759251762331e-02
449,1.750284081030e-02
450,1.742192354084e-02
451,1.736173539435e-02
452,1.730044361367e-02
453,1.725423394682e-02
454,1.722433611316e-02
455,1.720090310108e-02
456,1.717869217976e-02
