case_id,sza,vza,raa,wind,aerosol,aod865,chl,tsm,acdom440
G0010,49.1633,32.9961,63.3697,8.1520,M80C,0.12120,0.93930,3.51880,0.037129
G0035,49.6766,1.7575,161.0313,1.7758,T50,0.28646,0.61825,0.80431,0.019770
G0036,62.8280,7.5066,29.2496,4.3025,M95C,0.20884,0.17041,0.18382,0.020891
G0053,57.5520,47.9594,60.8665,9.3803,M98C,0.05811,0.55501,2.46745,0.052149
G0055,34.6231,52.2618,91.2969,7.3673,T50,0.15333,0.69232,6.00199,0.038178
G0056,59.9531,54.7121,51.1605,7.6421,M95C,0.19757,0.95002,4.28270,0.047183
G0067,32.2897,44.4347,8.2322,4.0632,O99,0.24327,0.21518,0.33021,0.024084
G0091,49.4168,25.6004,13.3329,5.7161,M80C,0.17650,0.19625,0.27810,0.024694
G0093,62.3303,0.2370,150.0751,9.7953,M95C,0.29805,0.44350,0.58472,0.018136
G0101,56.2440,31.5618,31.0985,5.7671,M98C,0.20238,0.92445,1.38991,0.015159
G0119,53.9965,50.2127,99.5672,7.2669,M80C,0.23565,0.55153,1.05934,0.025834
G0123,50.9641,24.6384,79.7093,4.1903,M80C,0.11223,0.16918,0.96421,0.016549
G0138,23.3854,49.5299,93.9624,2.2253,T50,0.27651,1.07573,1.93222,0.029173
G0150,58.2727,4.9802,169.0764,6.1744,M80C,0.08041,2.45933,5.42555,0.056360
G0152,55.8152,48.9987,34.5996,6.1967,T50,0.13356,0.29095,0.69898,0.018567
G0155,58.1576,24.1747,91.0022,6.6475,O99,0.10357,2.21991,4.39485,0.059374
G0182,59.0277,5.9607,33.9538,7.6186,C50,0.29803,0.26202,0.19584,0.017619
G0200,61.5297,20.2032,112.7828,8.5275,C50,0.18513,0.36391,0.62712,0.027416
G0219,48.8442,6.5287,132.6676,4.1077,T50,0.08945,1.06523,3.25088,0.043730
G0220,60.0137,16.4785,16.4703,3.0992,M80C,0.24567,1.15575,2.41203,0.051279
G0243,64.0650,45.8415,26.2049,5.4808,M98C,0.16194,0.34886,0.56888,0.023246
G0246,56.9786,51.5586,131.0355,4.4343,M80C,0.08179,0.20795,0.89806,0.013078
G0255,50.7560,13.5906,24.4847,9.5061,M98C,0.18420,0.49755,0.80005,0.017028
G0263,24.9869,50.0203,29.9850,9.4475,C50,0.21393,0.90556,1.21193,0.032594
G0270,34.1931,42.9812,38.2442,4.1396,T50,0.20631,2.41200,6.08635,0.045524
G0275,61.3028,16.0257,25.8223,8.3951,M98C,0.22635,0.26623,1.01945,0.021075
G0279,63.1064,19.3725,178.7931,2.6191,M95C,0.29012,1.58777,0.87109,0.046293
G0324,44.3607,39.6629,85.4201,4.1349,O99,0.19322,0.55465,2.47382,0.031026
G0329,63.6281,12.6229,144.2519,2.5694,M98C,0.13397,0.28423,0.54350,0.018035
G0342,18.3604,36.9983,9.3140,6.0516,M95C,0.05409,2.23587,1.03476,0.031391
G0351,39.1328,41.1682,26.9311,5.2700,O99,0.28305,0.27576,1.35583,0.023598
G0364,56.8460,43.2514,9.1792,3.7840,C50,0.29015,0.34024,0.32415,0.025969
G0372,23.2133,33.6522,65.7527,2.7054,T50,0.28279,0.15159,0.14265,0.013769
G0389,64.5458,14.7495,13.0500,7.5893,M80C,0.07216,1.39499,1.31625,0.026182
G0398,56.7439,44.4143,85.3068,3.7838,C50,0.17663,0.23377,1.30398,0.032130
G0399,27.2983,33.0915,5.8020,6.2365,T50,0.16921,0.38259,0.38061,0.026056
G0400,59.6270,6.6786,93.8226,9.0605,O99,0.13806,0.64434,0.61094,0.032062
G0410,59.9034,6.8407,166.9918,4.9576,C50,0.26995,0.15615,0.22585,0.018072
G0416,64.4841,3.6558,159.0035,2.5736,T50,0.12194,0.63885,0.89134,0.018707
G0423,56.0786,18.0474,40.7479,9.8941,M80C,0.23722,3.29534,17.75292,0.092067
G0434,62.1858,19.1517,11.7295,3.9888,O99,0.20511,0.63828,0.58953,0.038529
G0445,13.4013,38.9210,32.8559,2.2022,M98C,0.29094,2.32776,10.05132,0.095630
G0470,61.7766,44.1033,45.6405,9.2668,M80C,0.20106,0.91075,2.54702,0.042492
G0472,59.3142,32.1524,109.0216,1.9724,O99,0.18197,0.53319,0.76255,0.037652
G0475,59.4089,46.4658,57.0451,6.9879,M80C,0.25430,2.63136,5.82991,0.058609
G0479,38.7025,0.2361,147.4784,1.8671,T50,0.13330,1.03681,3.10500,0.054581
G0487,64.4066,13.4156,12.9700,8.0492,O99,0.12073,1.71511,9.93832,0.045850
G0492,60.5838,12.1922,44.5083,7.1941,T50,0.26942,0.38847,0.38632,0.013721
G0496,46.2767,52.4546,35.4279,7.5264,M98C,0.15372,0.17208,0.68487,0.010829
G0500,30.7669,54.9165,12.6071,4.6976,O99,0.10391,0.31041,0.17859,0.021074
G0503,44.6189,41.0091,78.5069,4.4803,M80C,0.14030,1.22748,2.98345,0.021788
G0515,63.9269,36.0530,36.7226,2.9820,M80C,0.27667,0.57064,0.67017,0.031643
G0545,47.7113,8.6104,9.0592,6.2167,O99,0.29127,1.58887,7.81763,0.085907
G0561,63.2156,28.9971,90.3532,5.9251,M80C,0.18272,0.46143,0.44146,0.019287
G0562,54.9974,54.9490,61.5220,4.4106,M80C,0.26847,1.06174,1.89992,0.034112
G0566,48.8038,44.5421,46.4996,9.8319,T50,0.25572,0.48259,0.79065,0.027661
G0567,64.7605,22.8403,5.3915,7.6896,O99,0.29552,1.06156,1.94999,0.061850
G0581,62.7762,36.4687,9.3952,1.7935,T50,0.11498,2.09292,6.79940,0.049465
G0592,26.5967,33.3395,69.4304,2.5568,C50,0.14256,0.27056,0.77773,0.017894
G0604,23.2919,34.8138,61.5017,3.0161,C50,0.10191,1.15402,6.43764,0.064169
G0612,29.7026,29.7400,28.2213,6.9491,O99,0.15021,0.37734,0.38790,0.035798
G0614,54.4909,18.1710,54.8021,5.3427,C50,0.23080,1.58056,4.17059,0.040800
G0618,34.6390,16.4197,42.2844,4.6551,M98C,0.28038,0.35308,0.74615,0.024668
G0623,28.0334,51.9066,93.7136,8.1397,M98C,0.08041,0.96065,2.70480,0.029130
G0624,3.7605,46.0651,168.4695,2.8235,C50,0.15229,0.39767,0.41188,0.019064
G0646,62.9576,14.5826,61.9384,7.7973,M95C,0.27309,0.69262,5.95081,0.038432
G0652,21.2875,46.0073,31.9131,4.6400,M95C,0.19798,4.72081,11.56637,0.050944
G0658,1.2062,52.2402,64.0473,3.4701,O99,0.10874,1.32732,2.95955,0.043116
G0686,63.4865,3.4316,76.2155,4.1111,M98C,0.14343,1.44495,2.83804,0.036375
G0704,55.6902,27.0023,67.4732,2.8344,O99,0.27475,1.75082,3.98950,0.054834
G0712,55.7348,53.2285,35.4834,5.4416,T50,0.15426,0.81231,4.20536,0.035501
G0718,53.6456,13.7218,130.8637,2.4801,T50,0.08956,0.32585,1.43676,0.017417
G0725,43.5324,49.4290,114.6725,6.2419,C50,0.16462,0.23549,0.50700,0.012020
G0741,38.7954,49.3730,75.4840,9.0820,C50,0.24630,0.53274,2.35429,0.033217
G0745,38.6384,46.2409,41.8579,9.2935,M98C,0.23075,1.38127,2.29423,0.025834
G0748,57.0216,33.3449,78.9589,5.6310,C50,0.13862,0.33454,0.83608,0.018541
G0763,42.9620,2.0946,162.8929,1.7840,T50,0.22988,0.36056,0.43335,0.020353
G0777,42.5737,5.9180,143.7124,1.9615,M95C,0.06247,0.32676,0.63044,0.025134
G0779,0.1769,47.2762,34.3609,1.4128,M95C,0.15798,1.38436,4.32685,0.041136
G0784,39.3328,5.9014,51.6549,3.6303,T50,0.09862,2.56044,9.27439,0.071321
