case_id,sza,vza,raa,wind,aerosol,aod865,chl,tsm,acdom440
G0001,47.3232,40.4123,58.9448,9.8627,M98C,0.22392,2.30342,7.14600,0.071597
G0002,52.0682,45.8110,0.2851,4.5561,M98C,0.05156,0.72161,3.34928,0.060791
G0003,43.0794,9.7730,132.5097,2.0165,C50,0.05385,0.49252,1.09431,0.026301
G0004,49.4859,26.5050,16.1094,7.3178,O99,0.16990,0.74540,2.19351,0.050151
G0005,57.3347,13.6060,11.4517,6.8281,M80C,0.12743,0.50386,1.33942,0.031513
G0006,51.0018,25.3124,57.2929,7.2900,M95C,0.11064,1.28114,9.75233,0.056293
G0007,33.7567,52.2993,122.7102,1.0918,T50,0.27530,0.27683,0.52465,0.021868
G0008,21.7036,43.4591,59.6407,6.4617,M80C,0.06209,1.40754,1.30099,0.060057
G0009,40.6887,48.8598,0.2803,7.5991,M98C,0.08619,0.67433,0.59243,0.042109
G0010,49.1633,32.9961,63.3697,8.1520,M80C,0.12120,0.93930,3.51880,0.037129
G0011,6.8510,50.2124,117.6739,2.6815,M80C,0.23364,0.57226,1.36707,0.024067
G0012,53.9590,41.7731,103.3892,8.1942,C50,0.26285,3.01751,16.45298,0.051220
G0013,51.2622,40.9104,44.5919,3.1455,O99,0.24318,0.47016,0.43393,0.016192
G0014,53.3867,48.7275,96.9143,3.7420,M95C,0.13045,1.05478,1.33279,0.025710
G0015,63.7672,16.4372,29.6068,2.1785,M98C,0.14581,0.33400,0.15129,0.015010
G0016,44.1752,34.6272,89.7916,5.8475,T50,0.12542,1.80514,2.75815,0.032794
G0017,59.9900,15.4634,31.3219,9.5930,M98C,0.07439,0.56777,3.19845,0.089376
G0018,39.3651,15.9793,66.3094,1.5956,T50,0.29864,0.67124,2.40918,0.035963
G0019,31.4832,34.5327,48.8323,4.7646,C50,0.08891,0.35246,0.19529,0.021362
G0020,23.1032,54.1834,89.6657,2.8101,C50,0.09211,0.68645,1.51444,0.021203
G0021,33.2436,47.4257,95.1167,7.4519,M95C,0.26080,0.51860,1.37606,0.053205
G0022,24.7738,52.5465,89.6368,5.4646,M80C,0.13890,0.63258,0.64481,0.024576
G0023,44.6770,15.5524,62.6577,4.3845,M98C,0.08529,1.08863,11.04735,0.028222
G0024,62.7823,25.0145,16.8748,5.5337,M80C,0.10781,0.36499,0.36304,0.015214
G0025,22.2217,46.4972,56.6110,2.7008,M98C,0.19698,0.35039,1.42789,0.018056
G0026,1.8629,54.1491,128.4084,3.9900,O99,0.18934,0.29806,0.15621,0.019631
G0027,63.6400,16.4528,84.6370,4.2477,T50,0.12466,0.65323,3.12467,0.029433
G0028,64.1997,21.0846,91.8579,5.4620,M80C,0.29363,3.27435,3.33805,0.054223
G0029,20.9810,40.9258,26.2743,3.0711,C50,0.24200,1.43185,4.62705,0.032143
G0030,57.9083,30.4870,40.5189,3.1130,M98C,0.24130,0.24205,0.31617,0.016017
G0031,46.3302,16.3210,51.0353,4.3249,C50,0.28820,0.31623,0.38097,0.015426
G0032,60.8770,26.3013,37.2580,9.5613,C50,0.06853,1.88273,5.52620,0.057652
G0033,63.2389,24.3690,6.0863,1.8314,C50,0.26524,1.07124,2.30867,0.063576
G0034,59.1112,48.0707,115.2293,3.7887,M95C,0.22907,0.19746,0.31206,0.020555
G0035,49.6766,1.7575,161.0313,1.7758,T50,0.28646,0.61825,0.80431,0.019770
G0036,62.8280,7.5066,29.2496,4.3025,M95C,0.20884,0.17041,0.18382,0.020891
G0037,46.2010,42.8843,50.3317,3.5686,C50,0.19242,0.57878,2.52637,0.027886
G0038,45.0035,17.8920,3.7834,5.7449,M80C,0.23290,0.72107,1.47467,0.053727
G0039,47.4235,18.1010,33.0576,4.2710,O99,0.13641,0.45151,1.43329,0.024188
G0040,45.4048,35.9592,74.1994,8.8610,M98C,0.27877,0.45859,0.74917,0.047406
G0041,58.3759,36.2407,70.4963,3.5259,O99,0.24534,1.83540,3.09198,0.029043
G0042,40.6709,28.6601,3.4499,7.1090,O99,0.16001,0.67342,2.07253,0.026322
G0043,56.3840,32.8326,78.3213,6.6506,M80C,0.09827,0.31931,0.62054,0.032273
G0044,4.6382,46.4619,51.6929,1.4520,O99,0.17381,1.20345,6.36158,0.064910
G0045,48.8223,30.6933,43.7078,8.8052,C50,0.16052,0.17648,0.17466,0.022246
G0046,17.4722,44.3844,15.7985,4.0393,T50,0.16395,0.47084,0.97854,0.031552
G0047,6.7407,34.0545,79.1974,2.2594,M95C,0.12320,0.49730,0.91413,0.043288
G0048,64.5826,34.0564,39.8330,4.9724,M98C,0.08187,3.12754,8.38017,0.080835
G0049,26.5884,39.3327,20.2373,9.5503,O99,0.12373,0.43396,1.14875,0.041964
G0050,25.5724,42.3732,51.0154,5.2150,O99,0.19366,1.97559,8.04356,0.032718
G0051,44.7201,46.0720,111.1114,8.4364,M95C,0.09494,3.63942,13.95263,0.072093
G0052,42.6050,1.7054,52.2355,1.0320,T50,0.22639,1.32868,1.11755,0.024774
G0053,57.5520,47.9594,60.8665,9.3803,M98C,0.05811,0.55501,2.46745,0.052149
G0054,57.1882,47.5901,109.5610,3.2240,O99,0.07366,0.62312,1.78499,0.018924
G0055,34.6231,52.2618,91.2969,7.3673,T50,0.15333,0.69232,6.00199,0.038178
G0056,59.9531,54.7121,51.1605,7.6421,M95C,0.19757,0.95002,4.28270,0.047183
G0057,37.1232,46.0272,80.2754,5.5720,T50,0.09142,0.17700,0.56531,0.019475
G0058,55.8142,46.1663,55.8604,8.8044,O99,0.27543,0.44823,1.81288,0.031843
G0059,37.4882,36.4335,66.7962,9.0470,M80C,0.21964,2.29832,2.30920,0.035130
G0060,46.8957,7.5590,27.0296,3.7739,M98C,0.29825,0.41918,0.60831,0.018321
G0061,29.2568,40.4979,23.9907,7.1273,M98C,0.27558,0.33364,1.63799,0.025975
G0062,26.9324,29.2076,43.5731,6.1157,C50,0.21495,0.16272,0.10479,0.016190
G0063,62.2011,21.8433,113.9576,4.5351,T50,0.05449,0.20655,0.44345,0.024428
G0064,43.8678,25.2738,65.0771,9.5520,M80C,0.07916,0.61981,0.85151,0.023852
G0065,49.3952,18.9592,123.1485,3.1909,C50,0.11502,1.34829,1.73543,0.026287
G0066,52.4518,44.6563,11.2398,5.7942,O99,0.18401,2.50603,5.34495,0.064333
G0067,32.2897,44.4347,8.2322,4.0632,O99,0.24327,0.21518,0.33021,0.024084
G0068,23.7363,42.0229,42.3007,8.7102,T50,0.10999,0.27129,0.37002,0.016052
G0069,46.6702,34.4836,57.1796,5.4013,T50,0.14188,0.52894,0.41472,0.038399
G0070,57.8687,33.2782,23.3740,6.7332,M95C,0.28051,0.59124,0.31241,0.034781
G0071,42.0551,25.0326,11.9707,2.4845,O99,0.16883,3.17949,4.54174,0.054303
G0072,42.3872,31.2304,72.3054,4.8288,C50,0.14578,0.37479,2.25811,0.030290
