case_id,TSM_g_m3,Chl_mg_m3,aCDOM440_m_inv
G0001,7.14600,2.30342,0.071597
G0002,3.34928,0.72161,0.060791
G0003,1.09431,0.49252,0.026301
G0004,2.19351,0.74540,0.050151
G0005,1.33942,0.50386,0.031513
G0006,9.75233,1.28114,0.056293
G0007,0.52465,0.27683,0.021868
G0008,1.30099,1.40754,0.060057
G0009,0.59243,0.67433,0.042109
G0010,3.51880,0.93930,0.037129
G0011,1.36707,0.57226,0.024067
G0012,16.45298,3.01751,0.051220
G0013,0.43393,0.47016,0.016192
G0014,1.33279,1.05478,0.025710
G0015,0.15129,0.33400,0.015010
G0016,2.75815,1.80514,0.032794
G0017,3.19845,0.56777,0.089376
G0018,2.40918,0.67124,0.035963
G0019,0.19529,0.35246,0.021362
G0020,1.51444,0.68645,0.021203
G0021,1.37606,0.51860,0.053205
G0022,0.64481,0.63258,0.024576
G0023,11.04735,1.08863,0.028222
G0024,0.36304,0.36499,0.015214
G0025,1.42789,0.35039,0.018056
G0026,0.15621,0.29806,0.019631
G0027,3.12467,0.65323,0.029433
G0028,3.33805,3.27435,0.054223
G0029,4.62705,1.43185,0.032143
G0030,0.31617,0.24205,0.016017
G0031,0.38097,0.31623,0.015426
G0032,5.52620,1.88273,0.057652
G0033,2.30867,1.07124,0.063576
G0034,0.31206,0.19746,0.020555
G0035,0.80431,0.61825,0.019770
G0036,0.18382,0.17041,0.020891
G0037,2.52637,0.57878,0.027886
G0038,1.47467,0.72107,0.053727
G0039,1.43329,0.45151,0.024188
G0040,0.74917,0.45859,0.047406
G0041,3.09198,1.83540,0.029043
G0042,2.07253,0.67342,0.026322
G0043,0.62054,0.31931,0.032273
G0044,6.36158,1.20345,0.064910
G0045,0.17466,0.17648,0.022246
G0046,0.97854,0.47084,0.031552
G0047,0.91413,0.49730,0.043288
G0048,8.38017,3.12754,0.080835
G0049,1.14875,0.43396,0.041964
G0050,8.04356,1.97559,0.032718
G0051,13.95263,3.63942,0.072093
G0052,1.11755,1.32868,0.024774
G0053,2.46745,0.55501,0.052149
G0054,1.78499,0.62312,0.018924
G0055,6.00199,0.69232,0.038178
G0056,4.28270,0.95002,0.047183
G0057,0.56531,0.17700,0.019475
G0058,1.81288,0.44823,0.031843
G0059,2.30920,2.29832,0.035130
G0060,0.60831,0.41918,0.018321
G0061,1.63799,0.33364,0.025975
G0062,0.10479,0.16272,0.016190
G0063,0.44345,0.20655,0.024428
G0064,0.85151,0.61981,0.023852
G0065,1.73543,1.34829,0.026287
G0066,5.34495,2.50603,0.064333
G0067,0.33021,0.21518,0.024084
G0068,0.37002,0.27129,0.016052
G0069,0.41472,0.52894,0.038399
G0070,0.31241,0.59124,0.034781
G0071,4.54174,3.17949,0.054303
G0072,2.25811,0.37479,0.030290
G0073,1.98665,1.32779,0.032787
G0074,2.22722,1.86023,0.055487
G0075,2.36464,0.43896,0.046776
G0076,2.43878,1.76058,0.043713
G0077,0.35611,0.30741,0.027931
G0078,1.71523,1.56196,0.072673
G0079,0.49244,0.30549,0.027471
G0080,0.73234,0.43502,0.029913
G0081,0.43991,0.49329,0.034421
G0082,7.39481,2.73741,0.044993
G0083,2.71547,1.39456,0.057039
G0084,7.28420,0.62936,0.029697
G0085,4.14714,0.98124,0.061625
G0086,8.12494,0.97820,0.036322
G0087,2.20753,0.18836,0.024733
G0088,2.25661,0.30749,0.042608
G0089,3.39843,2.12521,0.035659
G0090,2.55459,0.85025,0.042961
G0091,0.27810,0.19625,0.024694
G0092,6.30596,1.59087,0.056029
G0093,0.58472,0.44350,0.018136
G0094,6.09025,2.03144,0.056158
G0095,0.70247,0.43689,0.029575
G0096,0.43234,0.26526,0.016037
G0097,0.25560,0.28877,0.011118
G0098,2.56133,1.42261,0.029274
G0099,1.30828,0.84601,0.035229
G0100,2.00264,1.08395,0.054872
G0101,1.38991,0.92445,0.015159
G0102,0.34142,0.45325,0.020946
G0103,0.51113,0.56952,0.016570
G0104,0.61034,0.61281,0.011035
G0105,0.75227,0.46645,0.018540
