raa_deg,rho_I_w1,rho_I_w5,rho_I_decoupled,rho_U_decoupled
0,6.3792667952e-02,6.3885641023e-02,6.3885641008e-02,-1.9186864630e-19
5,6.3697088948e-02,6.3789375338e-02,6.3789375323e-02,1.3005686056e-04
10,6.3412053308e-02,6.3502301339e-02,6.3502301322e-02,2.2041653532e-04
15,6.2942622605e-02,6.3029544985e-02,6.3029544963e-02,2.3286006202e-04
20,6.2297092212e-02,6.2379506761e-02,6.2379506731e-02,1.3207794001e-04
25,6.1486784671e-02,6.1563651824e-02,6.1563651780e-02,-1.1299115937e-04
30,6.0525768767e-02,6.0596224706e-02,6.0596224634e-02,-5.2795690922e-04
35,5.9430512365e-02,5.9493896751e-02,5.9493896626e-02,-1.1319476142e-03
40,5.8219478935e-02,5.8275356416e-02,5.8275356181e-02,-1.9367874704e-03
45,5.6912679309e-02,5.6960854128e-02,5.6960853654e-02,-2.9464076341e-03
50,5.5531191409e-02,5.5571714714e-02,5.5571713698e-02,-4.1565107426e-03
55,5.4096661581e-02,5.4129831313e-02,5.4129828999e-02,-5.5545007243e-03
60,5.2630801598e-02,5.2657155244e-02,5.2657149698e-02,-7.1196815575e-03
65,5.1154895449e-02,5.1175196719e-02,5.1175182816e-02,-8.8237203412e-03
70,4.9689329624e-02,4.9704551845e-02,4.9704515646e-02,-1.0631361867e-02
75,4.8253159818e-02,4.8264473424e-02,4.8264376226e-02,-1.2501374093e-02
80,4.6863725817e-02,4.6872509959e-02,4.6872242859e-02,-1.4387696757e-02
85,4.5536324775e-02,4.5544258490e-02,4.5543513043e-02,-1.6240759007e-02
90,4.4283951295e-02,4.4293336867e-02,4.4291240366e-02,-1.8008926649e-02
95,4.3117110653e-02,4.3131840988e-02,4.3125945793e-02,-1.9640035484e-02
100,4.2043709254e-02,4.2071951856e-02,4.2055507506e-02,-2.1082964417e-02
105,4.1069024050e-02,4.1130282279e-02,4.1085131035e-02,-2.2289200614e-02
110,4.0195750263e-02,4.0338494819e-02,4.0217399007e-02,-2.3214349094e-02
115,3.9424124384e-02,3.9767276979e-02,3.9452397417e-02,-2.3819540575e-02
120,3.8752117546e-02,3.9575987269e-02,3.8787913012e-02,-2.4072694388e-02
125,3.8175700546e-02,4.0104965355e-02,3.8219694292e-02,-2.3949597435e-02
130,3.7689328705e-02,4.2024185284e-02,3.7741766702e-02,-2.3434765629e-02
135,3.7288890458e-02,4.6526046780e-02,3.7346791033e-02,-2.2522060676e-02
140,3.7001660286e-02,5.5485683462e-02,3.7026452794e-02,-2.1215042357e-02
145,3.7137662085e-02,7.1413782017e-02,3.6771869458e-02,-1.9527044325e-02
150,3.9808521025e-02,9.6954132828e-02,3.6574002032e-02,-1.7480969739e-02
155,5.5028506011e-02,1.3375601301e-01,3.6424057362e-02,-1.5108811393e-02
160,1.1451870791e-01,1.8089414648e-01,3.6313867992e-02,-1.2450909287e-02
165,2.7741743541e-01,2.3354563174e-01,3.6236237152e-02,-9.5549664591e-03
170,5.7847187712e-01,2.8298482274e-01,3.6185237689e-02,-6.4748511239e-03
175,9.2006622433e-01,3.1861825823e-01,3.6156455217e-02,-3.2692196169e-03
180,1.0768126398e+00,3.3164059451e-01,3.6147167636e-02,-9.2055670431e-18
185,9.2006622433e-01,3.1861825823e-01,3.6156455217e-02,3.2692196169e-03
190,5.7847187712e-01,2.8298482274e-01,3.6185237689e-02,6.4748511239e-03
195,2.7741743541e-01,2.3354563174e-01,3.6236237152e-02,9.5549664591e-03
200,1.1451870791e-01,1.8089414648e-01,3.6313867992e-02,1.2450909287e-02
205,5.5028506011e-02,1.3375601301e-01,3.6424057362e-02,1.5108811393e-02
210,3.9808521025e-02,9.6954132828e-02,3.6574002032e-02,1.7480969739e-02
215,3.7137662085e-02,7.1413782017e-02,3.6771869458e-02,1.9527044325e-02
220,3.7001660286e-02,5.5485683462e-02,3.7026452794e-02,2.1215042357e-02
225,3.7288890458e-02,4.6526046780e-02,3.7346791033e-02,2.2522060676e-02
230,3.7689328705e-02,4.2024185284e-02,3.7741766702e-02,2.3434765629e-02
235,3.8175700546e-02,4.0104965355e-02,3.8219694292e-02,2.3949597435e-02
240,3.8752117546e-02,3.9575987269e-02,3.8787913012e-02,2.4072694388e-02
245,3.9424124384e-02,3.9767276979e-02,3.9452397417e-02,2.3819540575e-02
250,4.0195750263e-02,4.0338494819e-02,4.0217399007e-02,2.3214349094e-02
255,4.1069024050e-02,4.1130282279e-02,4.1085131035e-02,2.2289200614e-02
260,4.2043709254e-02,4.2071951856e-02,4.2055507506e-02,2.1082964417e-02
265,4.3117110653e-02,4.3131840988e-02,4.3125945793e-02,1.9640035484e-02
270,4.4283951295e-02,4.4293336867e-02,4.4291240366e-02,1.8008926649e-02
275,4.5536324775e-02,4.5544258490e-02,4.5543513043e-02,1.6240759007e-02
280,4.6863725817e-02,4.6872509959e-02,4.6872242859e-02,1.4387696757e-02
285,4.8253159818e-02,4.8264473424e-02,4.8264376226e-02,1.2501374093e-02
290,4.9689329624e-02,4.9704551845e-02,4.9704515646e-02,1.0631361867e-02
295,5.1154895449e-02,5.1175196719e-02,5.1175182816e-02,8.8237203412e-03
300,5.2630801598e-02,5.2657155244e-02,5.2657149698e-02,7.1196815575e-03
305,5.4096661581e-02,5.4129831313e-02,5.4129828999e-02,5.5545007243e-03
310,5.5531191409e-02,5.5571714714e-02,5.5571713698e-02,4.1565107426e-03
315,5.6912679309e-02,5.6960854128e-02,5.6960853654e-02,2.9464076341e-03
320,5.8219478935e-02,5.8275356416e-02,5.8275356181e-02,1.9367874704e-03
325,5.9430512365e-02,5.9493896751e-02,5.9493896626e-02,1.1319476142e-03
330,6.0525768767e-02,6.0596224706e-02,6.0596224634e-02,5.2795690922e-04
335,6.1486784671e-02,6.1563651824e-02,6.1563651780e-02,1.1299115937e-04
340,6.2297092212e-02,6.2379506761e-02,6.2379506731e-02,-1.3207794001e-04
345,6.2942622605e-02,6.3029544985e-02,6.3029544963e-02,-2.3286006202e-04
350,6.3412053308e-02,6.3502301339e-02,6.3502301322e-02,-2.2041653532e-04
355,6.3697088948e-02,6.3789375338e-02,6.3789375323e-02,-1.3005686056e-04
360,6.3792667952e-02,6.3885641023e-02,6.3885641008e-02,-1.9186864630e-19
