wavelength_nm,psiT_source_pchip_m_inv_per_C,psiT_final_m_inv_per_C,sigma_psiT_source_pchip_m_inv_per_C,policy
330,0.000000000000e+00,0.000000000000e+00,1.740000000000e-04,explicit_zero_330_440
331,0.000000000000e+00,0.000000000000e+00,1.638276515152e-04,explicit_zero_330_440
332,0.000000000000e+00,0.000000000000e+00,1.550000000000e-04,explicit_zero_330_440
333,0.000000000000e+00,0.000000000000e+00,1.459848484848e-04,explicit_zero_330_440
334,0.000000000000e+00,0.000000000000e+00,1.410000000000e-04,explicit_zero_330_440
335,0.000000000000e+00,0.000000000000e+00,1.570285714286e-04,explicit_zero_330_440
336,0.000000000000e+00,0.000000000000e+00,1.740000000000e-04,explicit_zero_330_440
337,0.000000000000e+00,0.000000000000e+00,1.754714285714e-04,explicit_zero_330_440
338,0.000000000000e+00,0.000000000000e+00,1.760000000000e-04,explicit_zero_330_440
339,0.000000000000e+00,0.000000000000e+00,1.649166666667e-04,explicit_zero_330_440
340,0.000000000000e+00,0.000000000000e+00,1.480000000000e-04,explicit_zero_330_440
341,0.000000000000e+00,0.000000000000e+00,1.350833333333e-04,explicit_zero_330_440
342,0.000000000000e+00,0.000000000000e+00,1.280000000000e-04,explicit_zero_330_440
343,0.000000000000e+00,0.000000000000e+00,1.755000000000e-04,explicit_zero_330_440
344,0.000000000000e+00,0.000000000000e+00,2.230000000000e-04,explicit_zero_330_440
345,0.000000000000e+00,0.000000000000e+00,1.655000000000e-04,explicit_zero_330_440
346,0.000000000000e+00,0.000000000000e+00,1.080000000000e-04,explicit_zero_330_440
347,0.000000000000e+00,0.000000000000e+00,1.515000000000e-04,explicit_zero_330_440
348,0.000000000000e+00,0.000000000000e+00,1.950000000000e-04,explicit_zero_330_440
349,0.000000000000e+00,0.000000000000e+00,1.916063829787e-04,explicit_zero_330_440
350,0.000000000000e+00,0.000000000000e+00,1.840000000000e-04,explicit_zero_330_440
351,0.000000000000e+00,0.000000000000e+00,1.638936170213e-04,explicit_zero_330_440
352,0.000000000000e+00,0.000000000000e+00,1.480000000000e-04,explicit_zero_330_440
353,0.000000000000e+00,0.000000000000e+00,1.480000000000e-04,explicit_zero_330_440
354,0.000000000000e+00,0.000000000000e+00,1.480000000000e-04,explicit_zero_330_440
355,0.000000000000e+00,0.000000000000e+00,1.380000000000e-04,explicit_zero_330_440
356,0.000000000000e+00,0.000000000000e+00,1.280000000000e-04,explicit_zero_330_440
357,0.000000000000e+00,0.000000000000e+00,1.855000000000e-04,explicit_zero_330_440
358,0.000000000000e+00,0.000000000000e+00,2.430000000000e-04,explicit_zero_330_440
359,0.000000000000e+00,0.000000000000e+00,1.805000000000e-04,explicit_zero_330_440
360,0.000000000000e+00,0.000000000000e+00,1.180000000000e-04,explicit_zero_330_440
361,0.000000000000e+00,0.000000000000e+00,1.320704225352e-04,explicit_zero_330_440
362,0.000000000000e+00,0.000000000000e+00,1.550000000000e-04,explicit_zero_330_440
363,0.000000000000e+00,0.000000000000e+00,1.764295774648e-04,explicit_zero_330_440
364,0.000000000000e+00,0.000000000000e+00,1.890000000000e-04,explicit_zero_330_440
365,0.000000000000e+00,0.000000000000e+00,1.450000000000e-04,explicit_zero_330_440
366,0.000000000000e+00,0.000000000000e+00,1.010000000000e-04,explicit_zero_330_440
367,0.000000000000e+00,0.000000000000e+00,1.355000000000e-04,explicit_zero_330_440
368,0.000000000000e+00,0.000000000000e+00,1.700000000000e-04,explicit_zero_330_440
369,0.000000000000e+00,0.000000000000e+00,1.415000000000e-04,explicit_zero_330_440
370,0.000000000000e+00,0.000000000000e+00,1.130000000000e-04,explicit_zero_330_440
371,0.000000000000e+00,0.000000000000e+00,1.480000000000e-04,explicit_zero_330_440
372,0.000000000000e+00,0.000000000000e+00,1.830000000000e-04,explicit_zero_330_440
373,0.000000000000e+00,0.000000000000e+00,1.570000000000e-04,explicit_zero_330_440
374,0.000000000000e+00,0.000000000000e+00,1.310000000000e-04,explicit_zero_330_440
375,0.000000000000e+00,0.000000000000e+00,1.360000000000e-04,explicit_zero_330_440
376,0.000000000000e+00,0.000000000000e+00,1.410000000000e-04,explicit_zero_330_440
377,0.000000000000e+00,0.000000000000e+00,1.215000000000e-04,explicit_zero_330_440
378,0.000000000000e+00,0.000000000000e+00,1.020000000000e-04,explicit_zero_330_440
379,1.300000000000e-05,0.000000000000e+00,1.140000000000e-04,explicit_zero_330_440
380,2.600000000000e-05,0.000000000000e+00,1.260000000000e-04,explicit_zero_330_440
381,2.302678571429e-05,0.000000000000e+00,1.260000000000e-04,explicit_zero_330_440
382,1.700000000000e-05,0.000000000000e+00,1.260000000000e-04,explicit_zero_330_440
383,7.811923963134e-06,0.000000000000e+00,1.327666666667e-04,explicit_zero_330_440
384,-2.000000000000e-06,0.000000000000e+00,1.400000000000e-04,explicit_zero_330_440
385,-9.838709677419e-06,0.000000000000e+00,1.407333333333e-04,explicit_zero_330_440
386,-1.400000000000e-05,0.000000000000e+00,1.410000000000e-04,explicit_zero_330_440
387,-1.370967741935e-06,0.000000000000e+00,1.251169354839e-04,explicit_zero_330_440
388,1.300000000000e-05,0.000000000000e+00,1.020000000000e-04,explicit_zero_330_440
389,1.587096774194e-05,0.000000000000e+00,8.862548875855e-05,explicit_zero_330_440
390,1.700000000000e-05,0.000000000000e+00,7.900000000000e-05,explicit_zero_330_440
391,1.092105263158e-05,0.000000000000e+00,7.309090909091e-05,explicit_zero_330_440
392,3.000000000000e-06,0.000000000000e+00,6.900000000000e-05,explicit_zero_330_440
393,1.345029239766e-07,0.000000000000e+00,6.658771929825e-05,explicit_zero_330_440
394,-2.000000000000e-06,0.000000000000e+00,6.400000000000e-05,explicit_zero_330_440
395,-4.000000000000e-06,0.000000000000e+00,5.724561403509e-05,explicit_zero_330_440
396,-6.000000000000e-06,0.000000000000e+00,5.000000000000e-05,explicit_zero_330_440
397,-9.055555555556e-06,0.000000000000e+00,4.533333333333e-05,explicit_zero_330_440
398,-1.100000000000e-05,0.000000000000e+00,4.300000000000e-05,explicit_zero_330_440
399,-9.968750000000e-06,0.000000000000e+00,4.350000000000e-05,explicit_zero_330_440
400,-8.000000000000e-06,0.000000000000e+00,4.400000000000e-05,explicit_zero_330_440
401,-5.031250000000e-06,0.000000000000e+00,4.400000000000e-05,explicit_zero_330_440
402,-3.000000000000e-06,0.000000000000e+00,4.400000000000e-05,explicit_zero_330_440
403,-3.590909090909e-06,0.000000000000e+00,4.330000000000e-05,explicit_zero_330_440
404,-5.000000000000e-06,0.000000000000e+00,4.200000000000e-05,explicit_zero_330_440
405,-8.502840909091e-06,0.000000000000e+00,4.020000000000e-05,explicit_zero_330_440
406,-1.400000000000e-05,0.000000000000e+00,3.900000000000e-05,explicit_zero_330_440
407,-2.267187500000e-05,0.000000000000e+00,4.162500000000e-05,explicit_zero_330_440
408,-2.900000000000e-05,0.000000000000e+00,4.500000000000e-05,explicit_zero_330_440
409,-2.973437500000e-05,0.000000000000e+00,4.637500000000e-05,explicit_zero_330_440
410,-3.000000000000e-05,0.000000000000e+00,4.700000000000e-05,explicit_zero_330_440
411,-2.550000000000e-05,0.000000000000e+00,4.430769230769e-05,explicit_zero_330_440
412,-1.800000000000e-05,0.000000000000e+00,4.000000000000e-05,explicit_zero_330_440
413,-1.073076923077e-05,0.000000000000e+00,3.640659340659e-05,explicit_zero_330_440
414,-6.000000000000e-06,0.000000000000e+00,3.400000000000e-05,explicit_zero_330_440
415,-5.269230769231e-06,0.000000000000e+00,3.328571428571e-05,explicit_zero_330_440
416,-5.000000000000e-06,0.000000000000e+00,3.300000000000e-05,explicit_zero_330_440
