model,rh,ff,ssa443,ssa865,asym443,asym865,ang748_865,ext_ratio_443_865
r30f00v01,30,0,1.0,0.9998289473684211,0.7408,0.7156565789473684,-0.1807361234915823,0.9048390765381553
r30f01v01,30,1,0.9958,0.9983381578947368,0.7334,0.7113894736842106,-0.11367478540965532,0.9691606964839194
r30f02v01,30,2,0.9922,0.996846052631579,0.727,0.7071210526315789,-0.04829707338553338,1.0322825118770682
r30f05v01,30,5,0.9838,0.992471052631579,0.712,0.6947092105263157,0.13657450150716344,1.2148409684310468
r30f10v01,30,10,0.9748,0.9857013157894737,0.6957,0.6752342105263158,0.4149848557456694,1.498368497834207
r30f20v01,30,20,0.9653,0.9738328947368421,0.6778,0.6403092105263158,0.8796048615685822,1.9981938374196209
r30f30v01,30,30,0.9602,0.9636302631578948,0.6683,0.6098881578947369,1.2528556482205349,2.4248782884452185
r30f50v01,30,50,0.9549,0.947125,0.6582,0.5590736842105263,1.81636933208135,3.1148251949591406
r30f80v01,30,80,0.9513,0.9288184210526316,0.6512,0.5007381578947369,2.3867518139005903,3.8727858496250747
r30f95v01,30,95,0.9503,0.9215815789473684,0.6492,0.4769052631578947,2.595857439387761,4.167019913562644
r50f00v01,50,0,1.0,0.9998276315789474,0.7499,0.7156815789473684,-0.1947667030260243,0.8976918850688338
r50f01v01,50,1,0.9959,0.9983368421052631,0.7421,0.7113144736842105,-0.1271889750746868,0.9621105061830347
r50f02v01,50,2,0.9923,0.996846052631579,0.7353,0.7071447368421052,-0.061510401319428865,1.025297073492337
r50f05v01,50,5,0.9841,0.9926684210526316,0.7194,0.6949302631578947,0.1247687079465941,1.2080275946306833
r50f10v01,50,10,0.9754,0.986,0.7022,0.6756513157894737,0.4045454849581401,1.491506033689862
r50f20v01,50,20,0.9661,0.9744302631578948,0.6835,0.6413157894736843,0.8706853192425272,1.9904236640898678
r50f30v01,50,30,0.9612,0.9645263157894737,0.6735,0.6112868421052632,1.2443563341694643,2.415594024583202
r50f50v01,50,50,0.9562,0.9485236842105264,0.663,0.5615578947368421,1.8078672236401516,3.1016853755737013
r50f80v01,50,80,0.9527,0.9308315789473685,0.6557,0.5045157894736843,2.3758960901293134,3.8530505238464983
r50f95v01,50,95,0.9517,0.9238092105263158,0.6536,0.4813921052631579,2.5840758359259475,4.144256936881685
r70f00v01,70,0,1.0,0.99995,0.7781,0.7471434210526315,-0.1778769929100553,0.9019280336905744
r70f01v01,70,1,0.9957,0.9982605263157894,0.7678,0.7417815789473684,-0.10031976406966406,0.9758299193830966
r70f02v01,70,2,0.9921,0.9967684210526316,0.7591,0.7364197368421053,-0.025648940007256333,1.047854588890848
r70f05v01,70,5,0.9842,0.9922921052631578,0.7395,0.7212223684210526,0.18349457850344578,1.2533402480110158
r70f10v01,70,10,0.9761,0.9855197368421053,0.7193,0.6979605263157894,0.48780129566441777,1.5642168468106965
r70f20v01,70,20,0.9679,0.9741407894736842,0.6984,0.6579263157894737,0.973495281950876,2.0895044864898358
r70f30v01,70,30,0.9637,0.964925,0.6877,0.6247671052631578,1.344558884346908,2.516419852281027
r70f50v01,70,50,0.9596,0.9507065789473684,0.6769,0.5726407894736842,1.8744708852136507,3.1679042943615654
r70f80v01,70,80,0.9568,0.9360460526315789,0.6695,0.5172947368421053,2.3767924656995394,3.8333280823692166
r70f95v01,70,95,0.956,0.9305855263157895,0.6674,0.4959328947368421,2.553415143153706,4.07893441923015
r75f00v01,75,0,1.0,0.9999592105263158,0.7992,0.7725513157894737,-0.16422311287875477,0.9167530043961674
r75f01v01,75,1,0.9957,0.9982697368421052,0.7869,0.7658,-0.07422063706529143,1.0021752603628675
r75f02v01,75,2,0.9921,0.9965789473684211,0.7767,0.759346052631579,0.011942968446669722,1.084677854742608
r75f05v01,75,5,0.9846,0.9920026315789474,0.7547,0.7409671052631579,0.24790519851178902,1.3160825706357604
r75f10v01,75,10,0.9773,0.9852276315789473,0.7332,0.713721052631579,0.5795991710117347,1.6552984367523125
r75f20v01,75,20,0.9703,0.9744407894736843,0.7121,0.6690802631578947,1.0815543425492982,2.2005017343033777
r75f30v01,75,30,0.9669,0.9661144736842104,0.7018,0.6341855263157895,1.4437430296258604,2.619518505658598
r75f50v01,75,50,0.9636,0.9540894736842106,0.6916,0.5826736842105263,1.9330244514274768,3.2214119282002045
r75f80v01,75,80,0.9614,0.9424763157894737,0.6848,0.5320131578947369,2.367399787662838,3.793107550354727
r75f95v01,75,95,0.9608,0.938378947368421,0.6829,0.5135631578947368,2.514035290212761,3.994104495994674
r80f00v01,80,0,1.0,0.9999684210526316,0.8093,0.7849263157894737,-0.15186328605552896,0.9290032335160971
r80f01v01,80,1,0.9965,0.9984776315789474,0.7986,0.7779723684210527,-0.0539879659232713,1.019185243878388
r80f02v01,80,2,0.9937,0.9971842105263158,0.7898,0.7713144736842105,0.03823700880826256,1.1055293261425345
r80f05v01,80,5,0.9879,0.9934026315789474,0.7713,0.752821052631579,0.2872881273199834,1.3441039317422598
r80f10v01,80,10,0.9824,0.9879223684210526,0.7538,0.7261421052631579,0.627793345552748,1.6843499284805323
r80f20v01,80,20,0.9773,0.9796263157894737,0.7371,0.6844250000000001,1.121431188038993,2.209269393417213
r80f30v01,80,30,0.9748,0.9735026315789475,0.729,0.6532605263157895,1.463369459255824,2.5952517657107794
r80f50v01,80,50,0.9724,0.965103947368421,0.7211,0.6096657894736842,1.906300447232196,3.1250625582272735
r80f80v01,80,80,0.9709,0.9573960526315789,0.716,0.5690973684210526,2.2831203809725906,3.603041385454269
r80f95v01,80,95,0.9704,0.9546776315789474,0.7146,0.5550105263157894,2.4065284483443325,3.765489803079866
r85f00v01,85,0,1.0,0.9999684210526316,0.8184,0.7884552631578947,-0.1449244237208536,0.9222440333551445
r85f01v01,85,1,0.9971,0.998775,0.8086,0.7816947368421052,-0.04343063464934209,1.0137613091330822
r85f02v01,85,2,0.9948,0.9975828947368421,0.8007,0.7753302631578948,0.051793188641966977,1.1009494329634788
r85f05v01,85,5,0.9901,0.9944973684210526,0.7842,0.7578144736842106,0.30593547096938084,1.3393952925268473
r85f10v01,85,10,0.9858,0.9901118421052632,0.7687,0.7329986842105263,0.6465660250884325,1.6736182878162742
r85f20v01,85,20,0.9817,0.9835131578947369,0.7543,0.6953157894736842,1.1294656000202183,2.1759032818515442
r85f30v01,85,30,0.9798,0.9787934210526316,0.7475,0.6680039473684211,1.4550157878873395,2.5351454602921577
r85f50v01,85,50,0.978,0.9725184210526316,0.7408,0.6309736842105262,1.8672186463677385,3.015144244671223
r85f80v01,85,80,0.9768,0.9668723684210526,0.7365,0.597596052631579,2.2090877476981654,3.435754672158894
r85f95v01,85,95,0.9765,0.9649947368421053,0.7353,0.5862131578947368,2.3196555143494972,3.5761290800593217
r90f00v01,90,0,1.0,0.9999723684210526,0.8247,0.7948381578947369,-0.13598660326318981,0.9281209543919899
r90f01v01,90,1,0.9975,0.9988789473684211,0.8155,0.7880736842105264,-0.026423049561214516,1.0242391911171764
r90f02v01,90,2,0.9956,0.9978842105263158,0.8082,0.7816052631578947,0.07513542552942933,1.11488060961536
r90f05v01,90,5,0.9917,0.995196052631579,0.7933,0.764175,0.3415908848088689,1.3589076458582392
r90f10v01,90,10,0.9882,0.9916065789473685,0.7798,0.7403302631578947,0.6890223610253078,1.691475198544682
r90f20v01,90,20,0.985,0.9863052631578947,0.7674,0.7054934210526316,1.1614625663952,2.171529098248323
r90f30v01,90,30,0.9835,0.9826868421052631,0.7617,0.6812434210526316,1.4682140967879065,2.501121496160172
r90f50v01,90,50,0.9821,0.9780276315789473,0.7561,0.6496973684210526,1.8430638296958508,2.924653906418016
r90f80v01,90,80,0.9812,0.9740263157894736,0.7526,0.6226236842105263,2.1433868912344507,3.2809051355853245
r90f95v01,90,95,0.981,0.9726763157894737,0.7516,0.6136381578947367,2.2383259390093238,3.396976675448725
r95f00v01,95,0,1.0,0.999975,0.836,0.8047921052631578,-0.12638099587437046,0.9408650328867918
r95f01v01,95,1,0.9979,0.9989802631578948,0.8263,0.7972263157894737,0.0038372245158319316,1.0500832046616435
r95f02v01,95,2,0.9963,0.9980855263157895,0.819,0.790253947368421,0.1220202659263254,1.1510284587207664
r95f05v01,95,5,0.9931,0.995796052631579,0.8047,0.7720078947368422,0.4195996691165775,1.413027206731932
r95f10v01,95,10,0.9905,0.9929013157894737,0.7925,0.748425,0.7825860915812753,1.7485106631609701
r95f20v01,95,20,0.9883,0.988996052631579,0.782,0.7169118421052632,1.2374894511314214,2.1938599450506175
r95f30v01,95,30,0.9873,0.9864802631578948,0.7773,0.6967171052631579,1.509796603986183,2.4758178689956645
r95f50v01,95,50,0.9863,0.9835381578947369,0.7728,0.6722750000000001,1.8226888246707864,2.8129083027690296
r95f80v01,95,80,0.9858,0.9811776315789473,0.77,0.6528657894736842,2.057863191916569,3.076916128208397
r95f95v01,95,95,0.9856,0.9803539473684211,0.7693,0.6467026315789474,2.129627085782139,3.1590830256733113
