sza_deg,wavelength_nm,vza_deg,raa_deg,rho_I,rho_Q,rho_U,direct_transmittance,irradiance_transmittance,diffuse_dn_hemi,diffuse_dn_dir,sunglint_up_flux_ratio_diag,toa_up_flux_ratio_diag
75.000000,865.000,0.000000,0.000000,1.5751204513e-02,-1.3167157826e-02,-3.2250235372e-18,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,5.000000,1.5751204513e-02,-1.2967119112e-02,2.2864529616e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,10.000000,1.5751204513e-02,-1.2373081046e-02,4.5034332069e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,15.000000,1.5751204513e-02,-1.1403093173e-02,6.5835789132e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,20.000000,1.5751204513e-02,-1.0086628085e-02,8.4636859055e-03,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,25.000000,1.5751204513e-02,-8.4636859055e-03,1.0086628085e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,30.000000,1.5751204513e-02,-6.5835789132e-03,1.1403093173e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,35.000000,1.5751204513e-02,-4.5034332069e-03,1.2373081046e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,40.000000,1.5751204513e-02,-2.2864529616e-03,1.2967119112e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
75.000000,865.000,0.000000,45.000000,1.5751204513e-02,-4.0290599096e-18,1.3167157826e-02,9.3948813603e-01,9.7476185023e-01,3.5273714199e-02,3.0813936238e-02,5.6403032567e-10,4.0767117112e-03
