vza,raa,julyOCRT_rrs0minus_I,julyOCRT_rrs0minus_Q,julyOCRT_rrs0minus_U,julyOCRT_Rrs0plus_I,julyOCRT_Rrs0plus_Q,julyOCRT_Rrs0plus_U,julyOSOAA_rrs0minus_I,julyOSOAA_rrs0minus_Q,julyOSOAA_rrs0minus_U,julyOSOAA_Rrs0plus_I,julyOSOAA_Rrs0plus_Q,julyOSOAA_Rrs0plus_U,curMoment_rrs0minus_I,curMoment_rrs0minus_Q,curMoment_rrs0minus_U,curMoment_Rrs0plus_I,curMoment_Rrs0plus_Q,curMoment_Rrs0plus_U,curDirect_rrs0minus_I,curDirect_rrs0minus_Q,curDirect_rrs0minus_U,curDirect_Rrs0plus_I,curDirect_Rrs0plus_Q,curDirect_Rrs0plus_U
0.0,0.0,2.6614704972e-02,-1.5635816174e-03,-3.8296704459e-19,1.4987685722e-02,-8.8050834704e-04,-2.1566234576e-19,2.6611918554e-02,-1.5725056828e-03,-7.7030314395e-19,1.4992852532e-02,-8.8564576832e-04,-4.3384228186e-19,2.6504675485e-02,-1.5582657491e-03,-3.8166503237e-19,1.4923236300e-02,-8.7736852336e-04,-2.1489331076e-19,2.6536924379e-02,7.8025738063e-03,-8.7735886313e-21,1.4942502591e-02,4.3935000775e-03,-4.9402624427e-21
0.0,15.0,2.6614704972e-02,-1.3541014016e-03,7.8179080870e-04,1.4987685722e-02,-7.6254259678e-04,4.4025417352e-04,2.6611918554e-02,-1.3618271281e-03,7.8625072017e-04,1.4992852532e-02,-7.6699105658e-04,4.4282060692e-04,2.6504675485e-02,-1.3494977246e-03,7.7913287455e-04,1.4923236300e-02,-7.5982342971e-04,4.3868426168e-04,2.6536924379e-02,7.8073728961e-03,1.7910446990e-05,1.4942502591e-02,4.3962023655e-03,1.0085076052e-05
0.0,30.0,2.6614704972e-02,-7.8179080870e-04,1.3541014016e-03,1.4987685722e-02,-4.4025417352e-04,7.6254259678e-04,2.6611918554e-02,-7.8625072017e-04,1.3618271281e-03,1.4992852532e-02,-4.4282060692e-04,7.6699105658e-04,2.6504675485e-02,-7.7913287455e-04,1.3494977246e-03,1.4923236300e-02,-4.3868426168e-04,7.5982342971e-04,2.6536924379e-02,7.8204842533e-03,3.1021804174e-05,1.4942502591e-02,4.4035851535e-03,1.7467864121e-05
0.0,45.0,2.6614704972e-02,-4.7870880574e-19,1.5635816174e-03,1.4987685722e-02,-2.6957793221e-19,8.8050834704e-04,2.6611918554e-02,-8.6659103694e-19,1.5725056828e-03,1.4992852532e-02,-4.9127335375e-19,8.8564576832e-04,2.6504675485e-02,-4.7708129046e-19,1.5582657491e-03,1.4923236300e-02,-2.6861663845e-19,8.7736852336e-04,2.6536924379e-02,7.8383947003e-03,3.5820893981e-05,1.4942502591e-02,4.4136702296e-03,2.0170152105e-05
0.0,60.0,2.6614704972e-02,7.8179080870e-04,1.3541014016e-03,1.4987685722e-02,4.4025417352e-04,7.6254259678e-04,2.6611918554e-02,7.8625072017e-04,1.3618271281e-03,1.4992852532e-02,4.4282060692e-04,7.6699105658e-04,2.6504675485e-02,7.7913287455e-04,1.3494977246e-03,1.4923236300e-02,4.3868426168e-04,7.5982342971e-04,2.6536924379e-02,7.8563051472e-03,3.1021804174e-05,1.4942502591e-02,4.4237553057e-03,1.7467864121e-05
0.0,75.0,2.6614704972e-02,1.3541014016e-03,7.8179080870e-04,1.4987685722e-02,7.6254259678e-04,4.4025417352e-04,2.6611918554e-02,1.3618271281e-03,7.8625072017e-04,1.4992852532e-02,7.6699105658e-04,4.4282060692e-04,2.6504675485e-02,1.3494977246e-03,7.7913287455e-04,1.4923236300e-02,7.5982342971e-04,4.3868426168e-04,2.6536924379e-02,7.8694165044e-03,1.7910446990e-05,1.4942502591e-02,4.4311380937e-03,1.0085076052e-05
0.0,90.0,2.6614704972e-02,1.5635816174e-03,5.7445056689e-19,1.4987685722e-02,8.8050834704e-04,3.2349351865e-19,2.6611918554e-02,1.5725056828e-03,9.6287892994e-19,1.4992852532e-02,8.8564576832e-04,5.4682968785e-19,2.6504675485e-02,1.5582657491e-03,5.7249754855e-19,1.4923236300e-02,8.7736852336e-04,3.2233996614e-19,2.6536924379e-02,7.8742155942e-03,-1.2689608196e-19,1.4942502591e-02,4.4338403817e-03,-7.1453081990e-20
0.0,105.0,2.6614704972e-02,1.3541014016e-03,-7.8179080870e-04,1.4987685722e-02,7.6254259678e-04,-4.4025417352e-04,2.6611918554e-02,1.3618271281e-03,-7.8625072017e-04,1.4992852532e-02,7.6699105658e-04,-4.4282060692e-04,2.6504675485e-02,1.3494977246e-03,-7.7913287455e-04,1.4923236300e-02,7.5982342971e-04,-4.3868426168e-04,2.6536924379e-02,7.8694165044e-03,-1.7910446990e-05,1.4942502591e-02,4.4311380937e-03,-1.0085076052e-05
0.0,120.0,2.6614704972e-02,7.8179080870e-04,-1.3541014016e-03,1.4987685722e-02,4.4025417352e-04,-7.6254259678e-04,2.6611918554e-02,7.8625072017e-04,-1.3618271281e-03,1.4992852532e-02,4.4282060692e-04,-7.6699105658e-04,2.6504675485e-02,7.7913287455e-04,-1.3494977246e-03,1.4923236300e-02,4.3868426168e-04,-7.5982342971e-04,2.6536924379e-02,7.8563051472e-03,-3.1021804174e-05,1.4942502591e-02,4.4237553057e-03,-1.7467864121e-05
0.0,135.0,2.6614704972e-02,6.7019232803e-19,-1.5635816174e-03,1.4987685722e-02,3.7740910509e-19,-8.8050834704e-04,2.6611918554e-02,3.8524957384e-18,-1.5725056828e-03,1.4992852532e-02,2.1729533087e-18,-8.8564576832e-04,2.6504675485e-02,6.6791380665e-19,-1.5582657491e-03,1.4923236300e-02,3.7606329383e-19,-8.7736852336e-04,2.6536924379e-02,7.8383947003e-03,-3.5820893981e-05,1.4942502591e-02,4.4136702296e-03,-2.0170152105e-05
