campaign,case,omega,kratio20_pct,kratio40_pct,kratio60_pct
cdom,cdom1.0/660,0.001943,4.9103,4.9342,4.7590
cdom,cdom0.1/660,0.002136,4.4543,4.4782,4.3051
cdom,cdom0.01/660,0.002158,4.4114,4.4351,4.2623
cdom,cdom1.0/412,0.004460,17.4324,17.2930,15.7923
cdom,cdom1.0/443,0.005019,10.8411,10.7475,9.6142
cdom,cdom1.0/490,0.006148,5.4911,5.4448,4.6851
cdom,cdom1.0/555,0.007114,2.6299,2.6364,2.3511
cdom,cdom0.1/555,0.022826,0.7775,0.7744,0.3885
cdom,cdom0.01/555,0.029297,0.5962,0.5920,0.1964
cdom,cdom0.1/412,0.041773,1.4146,1.2933,0.0032
cdom,cdom0.1/443,0.045186,0.9680,0.8837,-0.1459
cdom,cdom0.1/490,0.046657,0.6388,0.6056,-0.0150
cdom,cdom0.01/490,0.136809,0.1563,0.1136,-0.5993
cdom,cdom0.01/443,0.226304,0.0789,-0.0038,-1.0127
cdom,cdom0.01/412,0.255770,0.0546,-0.0636,-1.3201
chl,chl0.3/660,0.315338,1.4632,1.3565,0.7671
tsm,tsm0.5/660,0.427664,0.0023,-0.1687,-1.1058
chl,chl1/660,0.468276,0.8827,0.7813,0.1674
chl,chl3/660,0.604552,0.5258,0.4310,-0.1988
tsm,tsm2.0/660,0.740441,-0.0946,-0.1645,-0.6913
chl,chl0.3/555,0.752439,0.2524,0.1817,-0.5177
tsm,tsm0.5/555,0.839419,-0.0677,-0.1368,-0.7590
chl,chl1/555,0.840153,0.1488,0.0602,-0.7085
chl,chl3/443,0.861873,0.2992,0.1328,-1.1613
chl,chl3/555,0.879769,0.0905,-0.0104,-0.8164
chl,chl1/443,0.900404,0.0766,-0.0609,-1.2575
tsm,tsm0.5/443,0.904270,-0.0675,-0.1803,-1.2243
tsm,tsm2.0/443,0.913683,-0.0580,-0.1691,-1.2069
chl,chl0.3/443,0.917722,-0.0156,-0.1310,-1.2437
tsm,tsm2.0/555,0.930026,-0.0066,-0.0414,-0.5178
